Class ID,Class Name,Section,Room,Instruction Type,Time
19438,GEOL 101 - Introduction to Geology,"01-LEC
Regular",KHS 199 - Lecture Room,In Person,MoWeFr 11:00AM - 11:50AM
19389,GEOL 101 - Introduction to Geology,"04-LEC
Regular",RGC 013 - Auditorium,In Person,MoWe 2:30PM - 3:45PM
19392,GEOL 101 - Introduction to Geology,"07-LEC
Regular",MH 121 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
19212,GEOL 101 - Introduction to Geology,"08-LEC
Regular",KHS 199 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
19214,GEOL 101 - Introduction to Geology,"09-LEC
Regular",LH 308 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
19221,GEOL 101L - Introduction to Geology Laboratory,"11-LAB
Regular",MH 203 - Geology Lab,In Person,Tu 7:00PM - 9:50PM
19227,GEOL 101L - Introduction to Geology Laboratory,"22-LAB
Regular",MH 203 - Geology Lab,In Person,Fr 9:00AM - 11:50AM
19439,GEOL 101L - Introduction to Geology Laboratory,"26-LAB
Regular",MH 236 - Geol Teaching Lab,In Person,Mo 7:00PM - 9:50PM
19435,GEOL 110T - Topics in Earth Science,"01-LEC
Regular",MH 121 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
19789,GEOL 201L - Earth History Supplemental Lab,"02-LAB
Regular",Online,Fully Online,TBA
19424,GEOL 293 - Directed Field and Laboratory Study,"01-SUP
Regular",TBA,In Person,TBA
21604,GEOL 303B - Igneous and Metamorphic Petrology,"13-DIS
Regular",DBH 203 - Geol Teaching Lab,In Person,Tu 1:00PM - 1:50PM
21605,GEOL 303B - Igneous and Metamorphic Petrology,"14-ACT
Regular",DBH 203 - Geol Teaching Lab,In Person,Tu 2:00PM - 3:50PM
21606,GEOL 303B - Igneous and Metamorphic Petrology,"15-LAB
Regular",DBH 203 - Geol Teaching Lab,In Person,Th 1:00PM - 3:50PM
19413,GEOL 310T - Topics in California-Related Geology,"03-LEC
Regular",LH 308 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
19393,GEOL 310T - Topics in California-Related Geology,"06-LEC
Regular",MH 121 - Lecture Room,In Person,We 7:00PM - 9:45PM
19465,GEOL 310T - Topics in California-Related Geology,"21-LEC
Regular",Online,Fully Online,TBA
21769,GEOL 333 - General Oceanography,"07-LEC
Regular",MH 236 - Geol Teaching Lab,In Person,We 2:00PM - 3:50PM
21770,GEOL 333 - General Oceanography,"08-LAB
Regular",MH 236 - Geol Teaching Lab,In Person,Mo 2:00PM - 4:50PM
19457,GEOL 335 - Hydrology and Surface Processes,"01-LEC
Regular",MH201 - Geol Teaching Lab,In Person,Tu 4:00PM - 4:50PM
19458,GEOL 335 - Hydrology and Surface Processes,"02-LAB
Regular",MH201 - Geol Teaching Lab,In Person,Th 4:00PM - 6:45PM
21620,GEOL 360 - Structural Geology,"07-LEC
Regular",MH 341 - Teaching Lab,In Person,Mo 10:00AM - 10:50AM
21621,GEOL 360 - Structural Geology,"08-ACT
Regular",MH 341 - Teaching Lab,In Person,We 11:00AM - 1:50PM
21622,GEOL 360 - Structural Geology,"09-LAB
Regular",MH 341 - Teaching Lab,In Person,Mo 11:00AM - 12:50PM
19394,GEOL 380 - Geologic Field Techniques,"01-LAB
Regular","MH 341 - Teaching Lab
TBA",In Person,"Fr 10:00AM - 12:50PM
TBA"
22093,GEOL 404 - Optical Mineralogy and Petrography,"09-DIS
Regular",DBH 203 - Geol Teaching Lab,In Person,Mo 9:00AM - 9:50AM
22094,GEOL 404 - Optical Mineralogy and Petrography,"10-LAB
Regular",DBH 203 - Geol Teaching Lab,In Person,Tu 9:00AM - 11:50AM
19445,GEOL 406 - Geochemistry,"01-DIS
Regular",MH 236 - Geol Teaching Lab,In Person,Tu 12:00PM - 1:50PM
19446,GEOL 406 - Geochemistry,"02-LAB
Regular",MH 236 - Geol Teaching Lab,In Person,Th 12:00PM - 2:50PM
19455,GEOL 410 - Planet Earth for Educators,"01-DIS
Regular",MH 637 - Teaching Lab,In Person,We 6:00PM - 7:50PM
19456,GEOL 410 - Planet Earth for Educators,"02-ACT
Regular",MH 637 - Teaching Lab,In Person,We 8:00PM - 9:50PM
19700,GEOL 410 - Planet Earth for Educators,"14-ACT
Regular",MH 637 - Teaching Lab,In Person,We 1:00PM - 2:50PM
19433,"GEOL 420 - Earth Science Communication, Education and Outreach Methods","03-LEC
Regular",MH 236 - Geol Teaching Lab,In Person,Tu 3:00PM - 5:50PM
19420,"GEOL 420 - Earth Science Communication, Education and Outreach Methods","04-LAB
Regular",MH 236 - Geol Teaching Lab,In Person,Th 3:00PM - 5:50PM
19230,GEOL 493 - Directed Studies,"01-SUP
Regular",TBA,In Person,TBA
19231,GEOL 493 - Directed Studies,"02-SUP
Regular",TBA,In Person,TBA
19232,GEOL 493 - Directed Studies,"03-SUP
Regular",TBA,In Person,TBA
19233,GEOL 493 - Directed Studies,"04-SUP
Regular",TBA,In Person,TBA
19234,GEOL 493 - Directed Studies,"05-SUP
Regular",TBA,In Person,TBA
19235,GEOL 493 - Directed Studies,"06-SUP
Regular",TBA,In Person,TBA
19237,GEOL 493 - Directed Studies,"09-SUP
Regular",TBA,In Person,TBA
19238,GEOL 493 - Directed Studies,"10-SUP
Regular",TBA,In Person,TBA
19239,GEOL 493 - Directed Studies,"11-SUP
Regular",TBA,In Person,TBA
19240,GEOL 493 - Directed Studies,"12-SUP
Regular",TBA,In Person,TBA
19429,GEOL 495 - Geological Sciences Internship,"01-SUP
Regular",TBA,In Person,TBA
19430,GEOL 495 - Geological Sciences Internship,"02-SUP
Regular",TBA,In Person,TBA
19241,GEOL 496L - Geological Sciences Tutorial,"01-SUP
Regular",TBA,In Person,TBA
19242,GEOL 496L - Geological Sciences Tutorial,"02-SUP
Regular",TBA,In Person,TBA
19243,GEOL 496L - Geological Sciences Tutorial,"03-SUP
Regular",TBA,In Person,TBA
19244,GEOL 496L - Geological Sciences Tutorial,"04-SUP
Regular",TBA,In Person,TBA
19245,GEOL 496L - Geological Sciences Tutorial,"05-SUP
Regular",TBA,In Person,TBA
19246,GEOL 496L - Geological Sciences Tutorial,"06-SUP
Regular",TBA,In Person,TBA
19397,GEOL 496L - Geological Sciences Tutorial,"07-SUP
Regular",TBA,In Person,TBA
