Class ID,Class Name,Section,Room,Instruction Type,Time
21140,HONR 100 - Introduction to University Honors Colloquium,"40-LEC
Regular",KHS 108 - Lecture Room,In Person,We 1:00PM - 2:15PM
17181,HONR 100 - Introduction to University Honors Colloquium,"45-LEC
Regular",MOD 103 - Modular,In Person,Th 10:00AM - 11:15AM
19550,HONR 100 - Introduction to University Honors Colloquium,"49-LEC
Regular",LH 320 - Lecture Room,In Person,We 4:00PM - 5:15PM
17072,HONR 101A - Honors Seminar in Critical Thinking,"40-SEM
Regular",CS 102A - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
17078,HONR 101A - Honors Seminar in Critical Thinking,"44-SEM
Regular",CS 110B - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
17094,HONR 101A - Honors Seminar in Critical Thinking,"47-SEM
Regular",GH 239 - Seminar,In Person,MoWe 2:30PM - 3:45PM
17024,HONR 101A - Honors Seminar in Critical Thinking,"53-SEM
Regular",MOD 104 - Modular,In Person,TuTh 11:30AM - 12:45PM
17147,HONR 101A - Honors Seminar in Critical Thinking,"57-SEM
Regular",CS 110A - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
17172,HONR 101A - Honors Seminar in Critical Thinking,"61-SEM
Regular",CP 128 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
17177,HONR 101A - Honors Seminar in Critical Thinking,"63-SEM
Regular",LH 315A - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
17142,HONR 101B - Honors Seminar in Oral Communication,"43-SEM
Regular",GH 239 - Seminar,In Person,MoWe 10:00AM - 11:15AM
17148,HONR 101B - Honors Seminar in Oral Communication,"44-SEM
Regular",CS 102B - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
17161,HONR 101B - Honors Seminar in Oral Communication,"45-SEM
Regular",CS 110A - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
17149,HONR 200 - Being Scholarly and Creative in an Interdisciplinary World,"41-LEC
Regular",GH 246 - Lecture Room,In Person,We 1:00PM - 2:15PM
17164,HONR 200 - Being Scholarly and Creative in an Interdisciplinary World,"42-LEC
Regular",EC 067 - Lecture Room,In Person,Tu 10:00AM - 11:15AM
17025,HONR 201A - Honors Seminar: American Institutions and Values to 1877,"43-SEM
Regular",LH 315A - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
17167,HONR 201A - Honors Seminar: American Institutions and Values to 1877,"47-SEM
Regular",CS 102A - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
17168,HONR 201A - Honors Seminar: American Institutions and Values to 1877,"48-SEM
Regular",MOD 104 - Modular,In Person,MoWe 2:30PM - 3:45PM
17171,HONR 201A - Honors Seminar: American Institutions and Values to 1877,"49-SEM
Regular",Hum 128 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
19553,HONR 201A - Honors Seminar: American Institutions and Values to 1877,"50-SEM
Regular",CS 102A - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
17143,HONR 201B - Honors Seminar: American Institutions and Values since 1877,"42-SEM
Regular",CS 102A - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
19554,HONR 201B - Honors Seminar: American Institutions and Values since 1877,"43-SEM
Regular",CS 102B - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
19555,HONR 201B - Honors Seminar: American Institutions and Values since 1877,"44-SEM
Regular",MOD 104 - Modular,In Person,MoWe 11:30AM - 12:45PM
17169,HONR 210A - Honors Seminar: World Civilizations to 1500,"47-SEM
Regular",EC 007 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
17121,HONR 210B - Honors Seminar: World Civilizations since 1500,"41-SEM
Regular",Hum 323 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
17162,HONR 300 - Honors Proposal Colloquium,"41-LEC
Regular",MOD 104 - Modular,In Person,Tu 2:30PM - 3:45PM
17163,HONR 301B - Honors Seminar: Contemporary Issues in California Government and Politics,"40-SEM
Regular",GH 239 - Seminar,In Person,TuTh 10:00AM - 11:15AM
17165,HONR 301T - Honors Seminar in Natural Science and Mathematics,"40-SEM
Regular",Hum 323 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
17166,HONR 301T - Honors Seminar in Natural Science and Mathematics,"42-SEM
Regular",MOD 104 - Modular,In Person,Th 4:00PM - 6:45PM
17173,HONR 302T - Honors Seminar in Arts and Humanities,"48-SEM
Regular",MOD 104 - Modular,In Person,TuTh 1:00PM - 2:15PM
17178,HONR 302T - Honors Seminar in Arts and Humanities,"49-SEM
Regular",GH 239 - Seminar,In Person,MoWe 1:00PM - 2:15PM
21239,HONR 302T - Honors Seminar in Arts and Humanities,"50-SEM
Regular",LH 315A - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
19556,HONR 303T - Honors Seminar in Social Sciences,"40-SEM
Regular",MOD 104 - Modular,In Person,MoWe 10:00AM - 11:15AM
19557,HONR 303T - Honors Seminar in Social Sciences,"46-SEM
Regular",CS 110A - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
21212,HONR 303T - Honors Seminar in Social Sciences,"49-SEM
Regular",Hum 415 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
21242,HONR 306 - Honors Seminar: Women in American Society,"41-SEM
Regular",MOD 108 - Modular,In Person,MoWe 2:30PM - 3:45PM
19607,HONR 400 - Senior Honors Colloquium,"43-LEC
Regular",MOD 104 - Modular,In Person,Th 10:00AM - 11:15AM
19559,HONR 497 - Senior Honors Project,"01-SUP
Regular",CS 110B - Lecture Room,In Person,Mo 1:00PM - 2:15PM
17112,HONR 497 - Senior Honors Project,"03-SUP
Regular",TBA,In Person,TBA
17113,HONR 497 - Senior Honors Project,"04-SUP
Regular",TBA,In Person,TBA
17114,HONR 497 - Senior Honors Project,"05-SUP
Regular",TBA,In Person,TBA
17115,HONR 497 - Senior Honors Project,"06-SUP
Regular",TBA,In Person,TBA
17116,HONR 497 - Senior Honors Project,"07-SUP
Regular",TBA,In Person,TBA
17117,HONR 497 - Senior Honors Project,"08-SUP
Regular",TBA,In Person,TBA
17118,HONR 497 - Senior Honors Project,"09-SUP
Regular",TBA,In Person,TBA
17119,HONR 497 - Senior Honors Project,"10-SUP
Regular",TBA,In Person,TBA
17120,HONR 497 - Senior Honors Project,"11-SUP
Regular",TBA,In Person,TBA
17123,HONR 497 - Senior Honors Project,"12-SUP
Regular",TBA,In Person,TBA
17124,HONR 497 - Senior Honors Project,"13-SUP
Regular",TBA,In Person,TBA
17125,HONR 497 - Senior Honors Project,"14-SUP
Regular",TBA,In Person,TBA
17126,HONR 497 - Senior Honors Project,"15-SUP
Regular",TBA,In Person,TBA
17127,HONR 497 - Senior Honors Project,"16-SUP
Regular",TBA,In Person,TBA
17154,HONR 497 - Senior Honors Project,"17-SUP
Regular",TBA,In Person,TBA
17155,HONR 497 - Senior Honors Project,"18-SUP
Regular",TBA,In Person,TBA
17156,HONR 497 - Senior Honors Project,"19-SUP
Regular",TBA,In Person,TBA
17183,HONR 497 - Senior Honors Project,"1A-SUP
Regular",TBA,In Person,TBA
17184,HONR 497 - Senior Honors Project,"1B-SUP
Regular",TBA,In Person,TBA
17185,HONR 497 - Senior Honors Project,"1C-SUP
Regular",TBA,In Person,TBA
17186,HONR 497 - Senior Honors Project,"1D-SUP
Regular",TBA,In Person,TBA
17187,HONR 497 - Senior Honors Project,"1E-SUP
Regular",TBA,In Person,TBA
17188,HONR 497 - Senior Honors Project,"1F-SUP
Regular",TBA,In Person,TBA
17189,HONR 497 - Senior Honors Project,"1G-SUP
Regular",TBA,In Person,TBA
17190,HONR 497 - Senior Honors Project,"1H-SUP
Regular",TBA,In Person,TBA
17191,HONR 497 - Senior Honors Project,"1I-SUP
Regular",TBA,In Person,TBA
17192,HONR 497 - Senior Honors Project,"1J-SUP
Regular",TBA,In Person,TBA
17193,HONR 497 - Senior Honors Project,"1K-SUP
Regular",TBA,In Person,TBA
17157,HONR 497 - Senior Honors Project,"20-SUP
Regular",TBA,In Person,TBA
17158,HONR 497 - Senior Honors Project,"21-SUP
Regular",TBA,In Person,TBA
17159,HONR 497 - Senior Honors Project,"22-SUP
Regular",TBA,In Person,TBA
17160,HONR 497 - Senior Honors Project,"23-SUP
Regular",TBA,In Person,TBA
17026,HONR 497 - Senior Honors Project,"40-SUP
Regular",TBA,In Person,TBA
17027,HONR 497 - Senior Honors Project,"41-SUP
Regular",TBA,In Person,TBA
17028,HONR 497 - Senior Honors Project,"42-SUP
Regular",TBA,In Person,TBA
17029,HONR 497 - Senior Honors Project,"43-SUP
Regular",TBA,In Person,TBA
17030,HONR 497 - Senior Honors Project,"44-SUP
Regular",TBA,In Person,TBA
17031,HONR 497 - Senior Honors Project,"45-SUP
Regular",TBA,In Person,TBA
17032,HONR 497 - Senior Honors Project,"46-SUP
Regular",TBA,In Person,TBA
17033,HONR 497 - Senior Honors Project,"47-SUP
Regular",TBA,In Person,TBA
17034,HONR 497 - Senior Honors Project,"48-SUP
Regular",TBA,In Person,TBA
17035,HONR 497 - Senior Honors Project,"49-SUP
Regular",TBA,In Person,TBA
17036,HONR 497 - Senior Honors Project,"50-SUP
Regular",TBA,In Person,TBA
17037,HONR 497 - Senior Honors Project,"51-SUP
Regular",TBA,In Person,TBA
17038,HONR 497 - Senior Honors Project,"52-SUP
Regular",TBA,In Person,TBA
17039,HONR 497 - Senior Honors Project,"53-SUP
Regular",TBA,In Person,TBA
17040,HONR 497 - Senior Honors Project,"54-SUP
Regular",TBA,In Person,TBA
17041,HONR 497 - Senior Honors Project,"55-SUP
Regular",TBA,In Person,TBA
17042,HONR 497 - Senior Honors Project,"56-SUP
Regular",TBA,In Person,TBA
17043,HONR 497 - Senior Honors Project,"57-SUP
Regular",TBA,In Person,TBA
17044,HONR 497 - Senior Honors Project,"58-SUP
Regular",TBA,In Person,TBA
17045,HONR 497 - Senior Honors Project,"59-SUP
Regular",TBA,In Person,TBA
17058,HONR 497 - Senior Honors Project,"60-SUP
Regular",TBA,In Person,TBA
17059,HONR 497 - Senior Honors Project,"61-SUP
Regular",TBA,In Person,TBA
17060,HONR 497 - Senior Honors Project,"62-SUP
Regular",TBA,In Person,TBA
17061,HONR 497 - Senior Honors Project,"63-SUP
Regular",TBA,In Person,TBA
17062,HONR 497 - Senior Honors Project,"64-SUP
Regular",TBA,In Person,TBA
17063,HONR 497 - Senior Honors Project,"65-SUP
Regular",TBA,In Person,TBA
17064,HONR 497 - Senior Honors Project,"66-SUP
Regular",TBA,In Person,TBA
17065,HONR 497 - Senior Honors Project,"67-SUP
Regular",TBA,In Person,TBA
17066,HONR 497 - Senior Honors Project,"68-SUP
Regular",TBA,In Person,TBA
17067,HONR 497 - Senior Honors Project,"69-SUP
Regular",TBA,In Person,TBA
17068,HONR 497 - Senior Honors Project,"70-SUP
Regular",TBA,In Person,TBA
17073,HONR 497 - Senior Honors Project,"71-SUP
Regular",TBA,In Person,TBA
17075,HONR 497 - Senior Honors Project,"73-SUP
Regular",TBA,In Person,TBA
17076,HONR 497 - Senior Honors Project,"74-SUP
Regular",TBA,In Person,TBA
17077,HONR 497 - Senior Honors Project,"75-SUP
Regular",TBA,In Person,TBA
17079,HONR 497 - Senior Honors Project,"76-SUP
Regular",TBA,In Person,TBA
17080,HONR 497 - Senior Honors Project,"77-SUP
Regular",TBA,In Person,TBA
17081,HONR 497 - Senior Honors Project,"78-SUP
Regular",TBA,In Person,TBA
17082,HONR 497 - Senior Honors Project,"79-SUP
Regular",TBA,In Person,TBA
17083,HONR 497 - Senior Honors Project,"80-SUP
Regular",TBA,In Person,TBA
17084,HONR 497 - Senior Honors Project,"81-SUP
Regular",TBA,In Person,TBA
17085,HONR 497 - Senior Honors Project,"82-SUP
Regular",TBA,In Person,TBA
17086,HONR 497 - Senior Honors Project,"83-SUP
Regular",TBA,In Person,TBA
17087,HONR 497 - Senior Honors Project,"84-SUP
Regular",TBA,In Person,TBA
17088,HONR 497 - Senior Honors Project,"85-SUP
Regular",TBA,In Person,TBA
17089,HONR 497 - Senior Honors Project,"86-SUP
Regular",TBA,In Person,TBA
17090,HONR 497 - Senior Honors Project,"87-SUP
Regular",TBA,In Person,TBA
17091,HONR 497 - Senior Honors Project,"88-SUP
Regular",TBA,In Person,TBA
17092,HONR 497 - Senior Honors Project,"89-SUP
Regular",TBA,In Person,TBA
17093,HONR 497 - Senior Honors Project,"90-SUP
Regular",TBA,In Person,TBA
17095,HONR 497 - Senior Honors Project,"91-SUP
Regular",TBA,In Person,TBA
17096,HONR 497 - Senior Honors Project,"92-SUP
Regular",TBA,In Person,TBA
17097,HONR 497 - Senior Honors Project,"93-SUP
Regular",TBA,In Person,TBA
17098,HONR 497 - Senior Honors Project,"94-SUP
Regular",TBA,In Person,TBA
17099,HONR 497 - Senior Honors Project,"95-SUP
Regular",TBA,In Person,TBA
17101,HONR 497 - Senior Honors Project,"96-SUP
Regular",TBA,In Person,TBA
17102,HONR 497 - Senior Honors Project,"97-SUP
Regular",TBA,In Person,TBA
17103,HONR 497 - Senior Honors Project,"98-SUP
Regular",TBA,In Person,TBA
17104,HONR 497 - Senior Honors Project,"99-SUP
Regular",TBA,In Person,TBA
17046,HONR 499 - Honors Independent Study,"40-SUP
Regular",TBA,In Person,TBA
17069,HONR 499 - Honors Independent Study,"41-SUP
Regular",TBA,In Person,TBA
17110,HONR 499 - Honors Independent Study,"42-SUP
Regular",TBA,In Person,TBA
17150,HONR 499 - Honors Independent Study,"43-SUP
Regular",TBA,In Person,TBA
17151,HONR 499 - Honors Independent Study,"44-SUP
Regular",TBA,In Person,TBA
17152,HONR 499 - Honors Independent Study,"45-SUP
Regular",TBA,In Person,TBA
17153,HONR 499 - Honors Independent Study,"46-SUP
Regular",TBA,In Person,TBA
