Class ID,Class Name,Section,Room,Instruction Type,Time
20019,HONR 100 - Introduction to University Honors Colloquium,"42-LEC
Regular",KHS 108 - Lecture Room,In Person,Th 4:00PM - 5:15PM
20032,HONR 100 - Introduction to University Honors Colloquium,"44-LEC
Regular",LH 320 - Lecture Room,In Person,Tu 11:30AM - 12:45PM
21946,HONR 101A - Honors Seminar in Critical Thinking,"43-SEM
Regular",EC 205 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
19889,HONR 101B - Honors Seminar in Oral Communication,"43-SEM
Regular",CS 102A - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
20025,HONR 101B - Honors Seminar in Oral Communication,"49-SEM
Regular",LH 315A - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
20020,HONR 200 - Being Scholarly and Creative in an Interdisciplinary World,"42-LEC
Regular",Hum 322 - Lecture Room,In Person,Th 4:00PM - 5:15PM
20031,HONR 200 - Being Scholarly and Creative in an Interdisciplinary World,"44-LEC
Regular",SGMH 1109 - Lecture,In Person,Tu 10:00AM - 11:15AM
19890,HONR 201B - Honors Seminar: American Institutions and Values since 1877,"40-SEM
Regular",LH 315A - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
20689,HONR 300 - Honors Proposal Colloquium,"46-LEC
Regular",EC 165 - Lecture Room,In Person,Tu 1:00PM - 2:15PM
20035,HONR 300 - Honors Proposal Colloquium,"48-LEC
Regular",MH 663 - Lecture Room,In Person,Th 11:30AM - 12:45PM
21945,HONR 302T - Honors Seminar in Arts and Humanities,"48-SEM
Regular",CS 102B - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
20023,HONR 303T - Honors Seminar in Social Sciences,"46-SEM
Regular",CS 102A - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
21290,HONR 303T - Honors Seminar in Social Sciences,"48-SEM
Regular",EC 121 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
20692,HONR 400 - Senior Honors Colloquium,"42-LEC
Regular",RGC 019 - Lecture Room,In Person,We 1:00PM - 2:15PM
20022,HONR 400 - Senior Honors Colloquium,"43-LEC
Regular",MH 049 - Lecture Room,In Person,Tu 4:00PM - 5:15PM
20664,HONR 400 - Senior Honors Colloquium,"45-LEC
Regular",LH 303 - Lecture Room,In Person,Tu 4:00PM - 5:15PM
