Class ID,Class Name,Section,Room,Instruction Type,Time
12723,HCOM 100 - Introduction to Human Communication,"01-DIS
Regular",Zoom,Fully Online,MoWe 10:00AM - 11:15AM
13017,HCOM 100 - Introduction to Human Communication,"02-DIS
Regular",Zoom,Fully Online,TuTh 5:30PM - 6:45PM
12724,HCOM 100 - Introduction to Human Communication,"03-DIS
Regular",Zoom,Fully Online,MoWe 10:00AM - 11:15AM
12725,HCOM 100 - Introduction to Human Communication,"04-DIS
Regular",Zoom,Fully Online,MoWe 8:30AM - 9:45AM
12726,HCOM 100 - Introduction to Human Communication,"05-DIS
Regular",Zoom,Fully Online,TuTh 10:00AM - 11:15AM
12727,HCOM 100 - Introduction to Human Communication,"06-DIS
Regular",CP 130 - Lecture Room,In Person,MoWe 8:00AM - 9:15AM
13065,HCOM 100 - Introduction to Human Communication,"07-DIS
Regular",Zoom,Fully Online,MoWe 11:30AM - 12:45PM
12728,HCOM 100 - Introduction to Human Communication,"08-DIS
Regular",CP 126 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
12729,HCOM 100 - Introduction to Human Communication,"09-DIS
Regular",CP 120 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
12730,HCOM 100 - Introduction to Human Communication,"10-DIS
Regular",CP 127 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
13066,HCOM 100 - Introduction to Human Communication,"11-DIS
Regular",Zoom,Fully Online,MoWe 1:00PM - 2:15PM
12731,HCOM 100 - Introduction to Human Communication,"12-DIS
Regular",Zoom,Fully Online,MoWe 9:00AM - 10:15AM
12732,HCOM 100 - Introduction to Human Communication,"13-DIS
Regular",CP 129 - Lecture Room,In Person,MoWe 8:00AM - 9:15AM
12733,HCOM 100 - Introduction to Human Communication,"14-DIS
Regular",Zoom,Fully Online,MoWe 9:00AM - 10:15AM
13067,HCOM 100 - Introduction to Human Communication,"15-DIS
Regular",Zoom,Fully Online,MoWe 2:30PM - 3:45PM
12734,HCOM 100 - Introduction to Human Communication,"16-DIS
Regular",Zoom,Fully Online,MoWe 10:00AM - 11:15AM
12735,HCOM 100 - Introduction to Human Communication,"17-DIS
Regular",Zoom,Fully Online,MoWe 1:00PM - 2:15PM
13072,HCOM 100 - Introduction to Human Communication,"18-DIS
Regular",Zoom,Fully Online,MoWe 2:30PM - 3:45PM
12736,HCOM 100 - Introduction to Human Communication,"19-DIS
Regular",EC 121 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
13163,HCOM 100 - Introduction to Human Communication,"1A-DIS
Regular",Zoom,Fully Online,TuTh 1:00PM - 2:15PM
13161,HCOM 100 - Introduction to Human Communication,"1B-DIS
Regular",Zoom,Fully Online,MoWe 10:00AM - 11:15AM
13159,HCOM 100 - Introduction to Human Communication,"1C-DIS
Regular",CP 470 - Presentation Lab,In Person,Mo 4:00PM - 6:45PM
13158,HCOM 100 - Introduction to Human Communication,"1D-DIS
Regular",CP 129 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
13152,HCOM 100 - Introduction to Human Communication,"1E-DIS
Regular",CP 130 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
13264,HCOM 100 - Introduction to Human Communication,"1F-DIS
Regular",CP 125 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
12737,HCOM 100 - Introduction to Human Communication,"20-DIS
Regular",Zoom,Fully Online,MoWe 10:00AM - 11:15AM
12738,HCOM 100 - Introduction to Human Communication,"21-DIS
Regular",Zoom,Fully Online,MoWe 11:30AM - 12:45PM
12739,HCOM 100 - Introduction to Human Communication,"22-DIS
Regular",Hum 228 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
12747,HCOM 100 - Introduction to Human Communication,"23-DIS
Regular",Zoom,Fully Online,MoWe 1:00PM - 2:15PM
12740,HCOM 100 - Introduction to Human Communication,"24-DIS
Regular",Zoom,Fully Online,MoWe 2:30PM - 3:45PM
12741,HCOM 100 - Introduction to Human Communication,"25-DIS
Regular",Zoom,Fully Online,MoWe 2:30PM - 3:45PM
12742,HCOM 100 - Introduction to Human Communication,"26-DIS
Regular",CP 128 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
13073,HCOM 100 - Introduction to Human Communication,"27-DIS
Regular",CP 124 - Lecture Room,In Person,Th 4:00PM - 6:45PM
12743,HCOM 100 - Introduction to Human Communication,"28-DIS
Regular",GH 240 - Seminar,In Person,MoWe 4:00PM - 5:15PM
12744,HCOM 100 - Introduction to Human Communication,"29-DIS
Regular",Zoom,Fully Online,MoWe 4:00PM - 5:15PM
12745,HCOM 100 - Introduction to Human Communication,"30-DIS
Regular",Zoom,Fully Online,MoWe 5:30PM - 6:45PM
12746,HCOM 100 - Introduction to Human Communication,"31-DIS
Regular",GH 207 - Lecture Room,In Person,MoWe 5:30PM - 6:45PM
13074,HCOM 100 - Introduction to Human Communication,"32-DIS
Regular",Zoom,Fully Online,Tu 4:00PM - 6:45PM
12748,HCOM 100 - Introduction to Human Communication,"33-DIS
Regular",Hum 524 - Lecture Room,In Person,We 4:00PM - 6:45PM
13075,HCOM 100 - Introduction to Human Communication,"34-DIS
Regular",CP 122 - Lecture Room,In Person,Th 4:00PM - 6:45PM
12749,HCOM 100 - Introduction to Human Communication,"35-DIS
Regular",CP 124 - Lecture Room,In Person,We 7:00PM - 9:45PM
12750,HCOM 100 - Introduction to Human Communication,"36-DIS
Regular",CP 124 - Lecture Room,In Person,TuTh 7:00AM - 8:15AM
12751,HCOM 100 - Introduction to Human Communication,"37-DIS
Regular",CP 128 - Lecture Room,In Person,TuTh 7:00AM - 8:15AM
13077,HCOM 100 - Introduction to Human Communication,"38-DIS
Regular",MOD 104 - Modular,In Person,Tu 4:00PM - 6:45PM
12752,HCOM 100 - Introduction to Human Communication,"39-DIS
Regular",Zoom,Fully Online,TuTh 10:00AM - 11:15AM
12753,HCOM 100 - Introduction to Human Communication,"40-DIS
Regular",Zoom,Fully Online,TuTh 8:30AM - 9:45AM
13078,HCOM 100 - Introduction to Human Communication,"41-DIS
Regular",Zoom,Fully Online,TuTh 4:00PM - 5:15PM
12755,HCOM 100 - Introduction to Human Communication,"42-DIS
Regular",Zoom,Fully Online,TuTh 10:00AM - 11:15AM
12756,HCOM 100 - Introduction to Human Communication,"43-DIS
Regular",CP 124 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
13111,HCOM 100 - Introduction to Human Communication,"44-DIS
Regular",EC 121 - Lecture Room,In Person,TuTh 8:00AM - 9:15AM
12754,HCOM 100 - Introduction to Human Communication,"45-DIS
Regular",Zoom,Fully Online,TuTh 2:30PM - 3:45PM
13112,HCOM 100 - Introduction to Human Communication,"46-DIS
Regular",Zoom,Fully Online,TuTh 11:30AM - 12:45PM
13113,HCOM 100 - Introduction to Human Communication,"47-DIS
Regular",CP 129 - Lecture Room,In Person,We 7:00PM - 9:45PM
13114,HCOM 100 - Introduction to Human Communication,"48-DIS
Regular",Zoom,Fully Online,TuTh 2:30PM - 3:45PM
