Class ID,Class Name,Section,Room,Instruction Type,Time
13117,HCOM 100 - Introduction to Human Communication,"02-DIS
Regular",CP 124 - Lecture Room,In Person,MoWe 7:00AM - 8:15AM
13370,HCOM 100 - Introduction to Human Communication,"03-DIS
Regular",Zoom,Fully Online,Tu 4:00PM - 6:45PM
13371,HCOM 100 - Introduction to Human Communication,"04-DIS
Regular",Zoom,Fully Online,TuTh 8:30AM - 9:45AM
12991,HCOM 100 - Introduction to Human Communication,"05-DIS
Regular",Zoom,Fully Online,MoWe 5:30PM - 6:45PM
12992,HCOM 100 - Introduction to Human Communication,"06-DIS
Regular",Zoom,Fully Online,MoWe 9:00AM - 10:15AM
13372,HCOM 100 - Introduction to Human Communication,"07-DIS
Regular",Zoom,Fully Online,TuTh 1:00PM - 2:15PM
13225,HCOM 100 - Introduction to Human Communication,"09-DIS
Regular",Zoom,Fully Online,TuTh 10:00AM - 11:15AM
13137,HCOM 100 - Introduction to Human Communication,"10-DIS
Regular",Zoom,Fully Online,MoWe 10:00AM - 11:15AM
13226,HCOM 100 - Introduction to Human Communication,"11-DIS
Regular",Zoom,Fully Online,MoWe 11:00AM - 12:15PM
12994,HCOM 100 - Introduction to Human Communication,"12-DIS
Regular",Zoom,Fully Online,MoWe 10:00AM - 11:15AM
13227,HCOM 100 - Introduction to Human Communication,"13-DIS
Regular",Zoom,Fully Online,MoWe 11:30AM - 12:45PM
13373,HCOM 100 - Introduction to Human Communication,"14-DIS
Regular",Zoom,Fully Online,TuTh 4:00PM - 5:15PM
12995,HCOM 100 - Introduction to Human Communication,"15-DIS
Regular",Zoom,Fully Online,MoWe 11:30AM - 12:45PM
13129,HCOM 100 - Introduction to Human Communication,"16-DIS
Regular",Zoom,Fully Online,MoWe 2:30PM - 3:45PM
13138,HCOM 100 - Introduction to Human Communication,"17-DIS
Regular",Zoom,Fully Online,MoWe 1:00PM - 2:15PM
13228,HCOM 100 - Introduction to Human Communication,"18-DIS
Regular",Zoom,Fully Online,MoWe 2:30PM - 3:45PM
13229,HCOM 100 - Introduction to Human Communication,"19-DIS
Regular",Zoom,Fully Online,MoWe 5:30PM - 6:45PM
12996,HCOM 100 - Introduction to Human Communication,"20-DIS
Regular",CP 129 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
12997,HCOM 100 - Introduction to Human Communication,"21-DIS
Regular",CP 129 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
13122,HCOM 100 - Introduction to Human Communication,"22-DIS
Regular",CP 129 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
13374,HCOM 100 - Introduction to Human Communication,"23-DIS
Regular",Zoom,Fully Online,TuTh 2:30PM - 3:45PM
13121,HCOM 100 - Introduction to Human Communication,"24-DIS
Regular",CP 124 - Lecture Room,In Person,TuTh 7:00AM - 8:15AM
12998,HCOM 100 - Introduction to Human Communication,"25-DIS
Regular",CP 130 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
13280,HCOM 100 - Introduction to Human Communication,"26-DIS
Regular",Zoom,Fully Online,TuTh 10:00AM - 11:15AM
13378,HCOM 100 - Introduction to Human Communication,"27-DIS
Regular",Zoom,Fully Online,Fr 11:00AM - 1:45PM
13113,HCOM 100 - Introduction to Human Communication,"28-DIS
Regular",Zoom,Fully Online,TuTh 8:30AM - 9:45AM
13139,HCOM 100 - Introduction to Human Communication,"29-DIS
Regular",CS 110B - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
13142,HCOM 100 - Introduction to Human Communication,"30-DIS
Regular",Zoom,Fully Online,TuTh 10:00AM - 11:15AM
13281,HCOM 100 - Introduction to Human Communication,"31-DIS
Regular",Zoom,Fully Online,TuTh 11:30AM - 12:45PM
13123,HCOM 100 - Introduction to Human Communication,"32-DIS
Regular",Zoom,Fully Online,TuTh 1:00PM - 2:15PM
13128,HCOM 100 - Introduction to Human Communication,"34-DIS
Regular",MH 663 - Lecture Room,In Person,TuTh 5:30PM - 6:45PM
13135,HCOM 100 - Introduction to Human Communication,"35-DIS
Regular",Zoom,Fully Online,TuTh 1:00PM - 2:15PM
13136,HCOM 100 - Introduction to Human Communication,"36-DIS
Regular",CP 129 - Lecture Room,In Person,We 4:00PM - 6:45PM
13120,HCOM 100 - Introduction to Human Communication,"37-DIS
Regular",CP 130 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
13379,HCOM 100 - Introduction to Human Communication,"39-DIS
Regular",Zoom,Fully Online,MoWe 1:00PM - 2:15PM
13244,HCOM 100 - Introduction to Human Communication,"44-DIS
Regular",Zoom,Fully Online,TuTh 1:00PM - 2:15PM
13245,HCOM 100 - Introduction to Human Communication,"45-DIS
Regular",Zoom,Fully Online,TuTh 2:30PM - 3:45PM
13391,HCOM 100 - Introduction to Human Communication,"48-DIS
Regular",Zoom,Fully Online,MoWe 10:00AM - 11:15AM
13381,HCOM 100 - Introduction to Human Communication,"49-DIS
Regular",Online,Fully Online,MoWe 2:30PM - 3:45PM
12999,HCOM 100 - Introduction to Human Communication,"50-DIS
Regular",Zoom,Fully Online,MoWe 4:00PM - 5:15PM
13399,HCOM 100 - Introduction to Human Communication,"51-DIS
Regular",Online,Fully Online,TBA
13400,HCOM 100 - Introduction to Human Communication,"52-DIS
Regular",CP 122 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
13000,HCOM 100 - Introduction to Human Communication,"53-DIS
Regular",Zoom,Fully Online,TuTh 2:30PM - 3:45PM
13407,HCOM 100 - Introduction to Human Communication,"55-DIS
Regular",CP 129 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
13116,HCOM 100 - Introduction to Human Communication,"56-DIS
Regular",CP 130 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
13001,HCOM 100 - Introduction to Human Communication,"58-DIS
Regular",Zoom,Fully Online,MoWe 8:30AM - 9:45AM
13409,HCOM 100 - Introduction to Human Communication,"59-DIS
Regular",Zoom,Fully Online,TuTh 2:30PM - 3:45PM
13410,HCOM 100 - Introduction to Human Communication,"60-DIS
Regular",Zoom,Fully Online,MoWe 10:00AM - 11:15AM
13134,HCOM 100 - Introduction to Human Communication,"61-DIS
Regular",Zoom,Fully Online,TuTh 2:30PM - 3:45PM
13115,HCOM 100 - Introduction to Human Communication,"63-DIS
Regular",CP 129 - Lecture Room,In Person,Th 4:00PM - 6:45PM
13114,HCOM 100 - Introduction to Human Communication,"65-DIS
Regular","EC 121 - Lecture Room
EC 109 - Lecture Room
EC 063 - Lecture Room
LH 301 - Lecture Room
Hum 110 - Lecture Room",Mostly Online w/ In-Person Mtg,"TuTh 11:30AM - 12:45PM
TuTh 11:30AM - 12:45PM
TuTh 11:30AM - 12:45PM
TuTh 11:30AM - 12:45PM
TuTh 11:30AM - 12:45PM"
13339,HCOM 100 - Introduction to Human Communication,"66-DIS
Regular",Zoom,Fully Online,MoWe 1:00PM - 2:15PM
13449,HCOM 100 - Introduction to Human Communication,"67-DIS
Regular",CP 129 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
13340,HCOM 100 - Introduction to Human Communication,"69-DIS
Regular",Zoom,Fully Online,TuTh 7:00AM - 8:15AM
13423,HCOM 100 - Introduction to Human Communication,"75-DIS
Regular",Zoom,Fully Online,MoWe 1:00PM - 2:15PM
13451,HCOM 100 - Introduction to Human Communication,"76-DIS
Regular",CP 127 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
13452,HCOM 100 - Introduction to Human Communication,"77-DIS
Regular",Zoom,Fully Online,MoWe 4:00PM - 5:15PM
13453,HCOM 100 - Introduction to Human Communication,"78-DIS
Regular",CP 127 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
13454,HCOM 100 - Introduction to Human Communication,"80-DIS
Regular",CP 124 - Lecture Room,In Person,Fr 8:00AM - 10:45AM
13455,HCOM 100 - Introduction to Human Communication,"81-DIS
Regular",EC 008 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
13457,HCOM 100 - Introduction to Human Communication,"83-DIS
Regular",CP 122 - Lecture Room,In Person,TuTh 5:30PM - 6:45PM
13459,HCOM 100 - Introduction to Human Communication,"85-DIS
Regular",EC 049 - Lecture Room,In Person,Tu 10:00AM - 12:45PM
13461,HCOM 100 - Introduction to Human Communication,"86-DIS
Regular",EC 121 - Lecture Room,In Person,Th 1:00PM - 3:45PM
13464,HCOM 100 - Introduction to Human Communication,"89-DIS
Regular",Zoom,Fully Online,Mo 4:00PM - 6:45PM
13465,HCOM 100 - Introduction to Human Communication,"90-DIS
Regular",CP 122 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
13466,HCOM 100 - Introduction to Human Communication,"92-DIS
Regular",Zoom,Fully Online,Th 4:00PM - 6:45PM
13377,HCOM 102 - Public Speaking,"01-DIS
Regular",CP 129 - Lecture Room,In Person,Fr 11:00AM - 1:45PM
13141,HCOM 102 - Public Speaking,"07-DIS
Regular",CP 122 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
13004,HCOM 102 - Public Speaking,"09-DIS
Regular",CS 110B - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
13005,HCOM 102 - Public Speaking,"10-DIS
Regular",CP 128 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
21387,HCOM 102 - Public Speaking,"13-DIS
Regular",CP 122 - Lecture Room,In Person,We 7:00PM - 9:45PM
12855,HCOM 138 - Forensics,"01-ACT
Regular",TBA,In Person,Tu 4:00PM - 6:45PM
13275,HCOM 138 - Forensics,"02-ACT
Regular",CP 420-09 - Seminar,In Person,Tu 4:00PM - 6:45PM
12856,HCOM 220 - Interpersonal Conflict Management,"01-DIS
Regular",Zoom,Fully Online,TuTh 1:00PM - 2:15PM
13140,HCOM 220 - Interpersonal Conflict Management,"02-DIS
Regular",Zoom,Fully Online,Tu 4:00PM - 6:45PM
12857,HCOM 235 - Essentials of Argumentation,"01-DIS
Regular",CP 124 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
13118,HCOM 235 - Essentials of Argumentation,"03-DIS
Regular",CP 124 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
13008,HCOM 235 - Essentials of Argumentation,"04-DIS
Regular",CP 124 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
13130,HCOM 235 - Essentials of Argumentation,"05-DIS
Regular",CP 124 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
13278,HCOM 235 - Essentials of Argumentation,"08-DIS
Regular",CP 124 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
13126,HCOM 235 - Essentials of Argumentation,"09-DIS
Regular",CP 127 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
