Class ID,Class Name,Section,Room,Instruction Type,Time
14767,HUSR 201 - Introduction to Human Services,"02-LEC
Regular",GH 302 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
14772,HUSR 201 - Introduction to Human Services,"03-LEC
Regular",EC 007 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
14946,HUSR 201 - Introduction to Human Services,"04-LEC
Regular",EC 044 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
14539,HUSR 201 - Introduction to Human Services,"50-LEC
Regular",Online,Fully Online,TBA
14540,HUSR 300 - Character and Conflict,"01-LEC
Regular",EC 067 - Lecture Room,In Person,Th 1:00PM - 3:45PM
14542,HUSR 300 - Character and Conflict,"03-LEC
Regular",EC 007 - Lecture Room,In Person,Mo 1:00PM - 3:45PM
14850,HUSR 300 - Character and Conflict,"04-LEC
Regular",EC 067 - Lecture Room,In Person,Tu 1:00PM - 3:45PM
14723,HUSR 315 - Research and Data Management in Human Services,"01-DIS
Regular",EC 125 - Computer Lab,In Person,MoWe 10:00AM - 11:15AM
14544,HUSR 350 - Leadership Skills and Personal Development,"02-LEC
Regular",EC 007 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
14994,HUSR 350 - Leadership Skills and Personal Development,"51-LEC
Regular",Online,Fully Online,TBA
14892,HUSR 380 - Theories and Techniques of Counseling,"02-LEC
Regular",EC 067 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
14890,HUSR 380 - Theories and Techniques of Counseling,"04-LEC
Regular",EC 203 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
21568,HUSR 380 - Theories and Techniques of Counseling,"06-LEC
Regular",EC 034 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
15534,HUSR 380 - Theories and Techniques of Counseling,"52-LEC
Regular",Online,Fully Online,TBA
14546,HUSR 385 - Program Design and Proposal Writing,"01-LEC
Regular",EC 125 - Computer Lab,In Person,MoWe 11:30AM - 12:45PM
14547,HUSR 385 - Program Design and Proposal Writing,"02-LEC
Regular",EC 125 - Computer Lab,In Person,TuTh 10:00AM - 11:15AM
14958,HUSR 396 - Practicum Seminar,"01-DIS
Regular",EC 007 - Lecture Room,In Person,Th 4:00PM - 5:50PM
14997,HUSR 396 - Practicum Seminar,"02-CLN
Regular",TBA,In Person,TBA
14978,HUSR 396 - Practicum Seminar,"03-DIS
Regular",Zoom,Fully Online,Fr 9:00AM - 10:50AM
14998,HUSR 396 - Practicum Seminar,"04-CLN
Regular",Online,Fully Online,TBA
14980,HUSR 396 - Practicum Seminar,"07-DIS
Regular",Online,Fully Online,TBA
15000,HUSR 396 - Practicum Seminar,"08-CLN
Regular",Online,Fully Online,TBA
14981,HUSR 396 - Practicum Seminar,"50-DIS
Regular",Online,Fully Online,TBA
15001,HUSR 396 - Practicum Seminar,"51-CLN
Regular",Online,Fully Online,TBA
14548,HUSR 410 - Crisis Intervention for Para-Professionals,"01-DIS
Regular",EC 023 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
14549,HUSR 410 - Crisis Intervention for Para-Professionals,"02-DIS
Regular",EC 109 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
14550,HUSR 410 - Crisis Intervention for Para-Professionals,"03-DIS
Regular",EC 044 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
14801,HUSR 411 - Human Services Delivery to Communities,"01-DIS
Regular",EC 044 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
14802,HUSR 411 - Human Services Delivery to Communities,"02-DIS
Regular",EC 044 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
14993,HUSR 415 - Treatment Issues in Drug Addiction,"03-DIS
Regular",EC 044 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
14551,HUSR 416 - Group Process and Membership,"01-SEM
Regular",TBA,In Person,TBA
15421,HUSR 420 - Human Services Management,"50-LEC
Regular",Online,Fully Online,TBA
14841,HUSR 425T - Contemporary Issues in the Human Services,"02-LEC
Regular",EC 203 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
14552,HUSR 430 - Child Abuse and the Human Services,"01-LEC
Regular",EC 023 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
14891,HUSR 436 - Dynamics of Substance Abuse Treatment in Families,"01-DIS
Regular",EC 007 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
14737,"HUSR 437 - Co-Occurring Disorders: Assessment, Treatment and Referral","50-DIS
Regular",Online,Fully Online,TBA
14868,HUSR 450 - Theory and Practice of Group Counseling,"01-SEM
Regular",LH 403B - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
15422,HUSR 455 - Integrating Acting and Psychodrama Exercises in Human Services,"01-LEC
Regular","EC 044 - Lecture Room
EC 008 - Lecture Room",In Person,"Th 7:00PM - 9:45PM
Th 7:00PM - 9:45PM"
14554,HUSR 470 - Evaluation of Human Services Programs,"50-DIS
Regular",Online,Fully Online,TBA
14912,HUSR 470 - Evaluation of Human Services Programs,"51-DIS
Regular",Online,Fully Online,TBA
14911,HUSR 470 - Evaluation of Human Services Programs,"52-DIS
Regular",Online,Fully Online,TBA
14950,HUSR 475 - Human Services Policy and Practice,"50-DIS
Regular",Online,Fully Online,TBA
14883,HUSR 480 - Case Analysis and Intervention Techniques,"01-DIS
Regular",GH 302 - Lecture Room,In Person,Mo 1:00PM - 3:45PM
14882,HUSR 490 - Practicum in Group Leadership,"01-SEM
Regular",EC 109 - Lecture Room,In Person,We 4:00PM - 6:45PM
14989,HUSR 493 - HHD Peer Mentoring Academy,"01-SEM
Regular",LH 403B - Lecture Room,In Person,Tu 4:00PM - 6:45PM
14986,HUSR 496 - Internship Seminar,"52-DIS
Regular",Online,Fully Online,TBA
15005,HUSR 496 - Internship Seminar,"53-CLN
Regular",Online,Fully Online,TBA
