Class ID,Class Name,Section,Room,Instruction Type,Time
16494,JAPN 101 - Fundamental Japanese-A,"01-DIS
Regular",Hum 325 - Language Lab,In Person,TuTh 8:30AM - 9:45AM
17088,JAPN 101 - Fundamental Japanese-A,"02-DIS
Regular",Hum 325 - Language Lab,In Person,MoWe 11:30AM - 12:45PM
17579,JAPN 101 - Fundamental Japanese-A,"03-DIS
Regular",Hum 321B - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
15939,JAPN 102 - Fundamental Japanese-B,"01-DIS
Regular",GH 336 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
16330,JAPN 102 - Fundamental Japanese-B,"50-DIS
Regular",Online,Fully Online,TBA
16861,JAPN 203 - Intermediate Japanese-A,"01-DIS
Regular",LH 302 - Television Studio,In Person,MoWe 10:00AM - 11:15AM
15940,JAPN 204 - Intermediate Japanese-B,"01-DIS
Regular",LH 302 - Television Studio,In Person,MoWe 1:00PM - 2:15PM
17090,JAPN 213 - Japanese Cultural Conversation and Composition A,"01-DIS
Regular",Hum 321A - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
17091,JAPN 214 - Japanese Cultural Conversation and Composition B,"01-DIS
Regular",Hum 321A - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16323,JAPN 306 - Advanced Japanese-B,"01-DIS
Regular",Hum 325 - Language Lab,In Person,TuTh 10:00AM - 11:15AM
16318,JAPN 316 - Modern Japan,"01-DIS
Regular",Hum 516 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
20246,JAPN 420 - Medieval Japanese Literature,"01-LEC
Regular",GH 336 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
20247,JAPN 467 - Japanese Language and Society,"01-DIS
Regular",Hum 516 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
