Class ID,Class Name,Section,Room,Instruction Type,Time
14570,KNES 100 - Physical Conditioning,"02-ACT
Regular",KHS 001 - PE/Indoor,In Person,MoWe 3:00PM - 3:50PM
15272,KNES 102A - Beginning Jogging,"02-ACT
Regular",KHS 151 - Gym,In Person,TuTh 10:00AM - 10:50AM
14572,KNES 103 - Fitness Walking,"01-ACT
Regular",KHS 151 - Gym,In Person,TuTh 9:00AM - 9:50AM
21242,KNES 103 - Fitness Walking,"04-ACT
Regular",KHS 151 - Gym,In Person,TuTh 11:00AM - 11:50AM
15635,KNES 108 - Aqua Fit,"01-ACT
Regular",Other - Pool (Shallow End),In Person,TuTh 12:00PM - 12:50PM
15490,KNES 110A - Beginning Swimming,"02-ACT
Regular",Other - Pool (Shallow End),In Person,MoWe 11:00AM - 11:50AM
15491,KNES 110A - Beginning Swimming,"03-ACT
Regular",Other - Pool (Shallow End),In Person,TuTh 11:00AM - 11:50AM
15492,KNES 110A - Beginning Swimming,"04-ACT
Regular",Other - Pool (Shallow End),In Person,TuTh 9:00AM - 9:50AM
21245,KNES 110A - Beginning Swimming,"07-ACT
Regular",Other - Pool (Shallow End),In Person,MoWe 9:00AM - 9:50AM
21207,KNES 110A - Beginning Swimming,"08-ACT
Regular",Other - Pool (Shallow End),In Person,MoWe 8:00AM - 8:50AM
21208,KNES 110A - Beginning Swimming,"09-ACT
Regular",Other - Pool (Shallow End),In Person,Fr 10:00AM - 11:40AM
21673,KNES 112A - Beginning Surfing,"02-ACT
Regular",See Class Note Mtg Location,In Person,Fr 11:20AM - 1:00PM
21674,KNES 112A - Beginning Surfing,"03-ACT
Regular",See Class Note Mtg Location,In Person,Fr 8:00AM - 9:40AM
21672,KNES 112B - Intermediate Surfing,"02-ACT
Regular",See Class Note Mtg Location,In Person,Fr 9:40AM - 11:20AM
15632,KNES 114A - Beginning Rock Climbing,"02-ACT
Regular",KHS 151 - Gym,In Person,TuTh 11:00AM - 11:50AM
14575,KNES 117A - Beginning Bowling,"02-ACT
Regular",TSU  Bowling - Bowling Alley,In Person,We 12:55PM - 2:35PM
21209,KNES 117B - Intermediate Bowling,"05-ACT
Regular",TSU  Bowling - Bowling Alley,In Person,Mo 9:35AM - 11:05AM
14582,KNES 130B - Intermediate Badminton,"02-ACT
Regular",KHS 151 - Gym,In Person,TuTh 9:00AM - 9:50AM
14583,KNES 131A - Beginning Tennis,"01-ACT
Regular",Other - Tennis Courts,In Person,MoWe 9:00AM - 9:50AM
15639,KNES 132 - Beginning Pickleball,"02-ACT
Regular",Other - Tennis Courts,In Person,Fr 11:00AM - 12:40PM
21210,KNES 132 - Beginning Pickleball,"03-ACT
Regular",Other - Tennis Courts,In Person,TuTh 8:00AM - 8:50AM
14913,KNES 144 - Aerobic Exercise and Weight Control,"01-ACT
Regular",KHS 203 - PE/Indoor,In Person,TuTh 12:00PM - 12:50PM
14857,KNES 145 - Cardio Kick-Boxing,"01-ACT
Regular",KHS 203 - PE/Indoor,In Person,TuTh 10:00AM - 10:50AM
