Class ID,Class Name,Section,Room,Instruction Type,Time
15043,LBST 100 - Introduction to the Humanities,"01-LEC
Regular",Hum 226 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
15607,LBST 100 - Introduction to the Humanities,"02-LEC
Regular",Zoom,Fully Online,TuTh 11:30AM - 12:45PM
16337,LBST 100 - Introduction to the Humanities,"04-LEC
Regular",Hum 226 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
15799,LBST 101 - Introduction to the Social Sciences,"01-LEC
Regular",Hum 226 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
15851,LBST 101 - Introduction to the Social Sciences,"02-LEC
Regular",Hum 226 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
16149,LBST 101 - Introduction to the Social Sciences,"03-LEC
Regular",Hum 226 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
16804,LBST 133 - Explore Core: Truth,"01-DIS
Regular",Hum 326B - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
15708,LBST 300 - Introduction to Liberal Studies,"01-LEC
Regular",MH 463 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
15742,LBST 300 - Introduction to Liberal Studies,"02-LEC
Regular",Hum 326B - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
16949,LBST 300 - Introduction to Liberal Studies,"03-LEC
Regular",Hum 226 - Lecture Room,In Person,MoWe 5:30PM - 6:45PM
16872,LBST 301 - Inquiry and Composition in Liberal Studies,"50-LEC
Regular",Hum 326B - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
15517,LBST 301 - Inquiry and Composition in Liberal Studies,"51-LEC
Regular",Zoom,Fully Online,TuTh 4:00PM - 5:15PM
15680,LBST 302A - Historical Dimension of Liberal Studies,"01-DIS
Regular",GH 339 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16127,LBST 302A - Historical Dimension of Liberal Studies,"51-DIS
Regular",Zoom,Fully Online,MoWe 11:30AM - 12:45PM
15044,LBST 302B - Historical Dimension of Liberal Studies,"01-DIS
Regular",GH 339 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
15602,LBST 303 - Liberal Studies in the Humanities and Arts,"01-DIS
Regular",Hum 226 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
15669,LBST 303 - Liberal Studies in the Humanities and Arts,"50-DIS
Regular",Hum 426 - Lecture Room,In Person,TuTh 5:30PM - 6:45PM
15045,LBST 304 - Liberal Studies in the Sciences,"01-DIS
Regular",Hum 326B - Lecture Room,In Person,MoWe 5:30PM - 6:45PM
15743,LBST 304 - Liberal Studies in the Sciences,"02-DIS
Regular",Hum 326B - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
15046,LBST 305 - Liberal Studies in the Social Sciences,"01-DIS
Regular",Hum 326B - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
16306,LBST 305 - Liberal Studies in the Social Sciences,"50-DIS
Regular",Zoom,Fully Online,MoWe 4:00PM - 5:15PM
21090,LBST 310 - The California Experience,"02-LEC
Regular",MH 468 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
16019,LBST 331 - History of Science: Copernicus to the Present,"01-SEM
Regular",Hum 226 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
15665,LBST 340 - Food in the Social Sciences,"50-LEC
Regular",Zoom,Fully Online,MoWe 1:00PM - 2:15PM
16021,LBST 401 - Knowledge in the Arts and Sciences,"01-LEC
Regular",Hum 226 - Lecture Room,In Person,TuTh 5:30PM - 6:45PM
16022,LBST 401 - Knowledge in the Arts and Sciences,"02-LEC
Regular",EC 124 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
16370,LBST 486 - Senior Seminar in Humanities and Arts,"01-SEM
Regular",GH 239 - Seminar,In Person,TuTh 1:00PM - 2:15PM
21089,LBST 490 - Senior Seminar in Great Books,"01-SEM
Regular",Hum 326B - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
15047,LBST 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
15048,LBST 499 - Independent Study,"02-SUP
Regular",TBA,In Person,TBA
15049,LBST 499 - Independent Study,"03-SUP
Regular",TBA,In Person,TBA
15050,LBST 499 - Independent Study,"04-SUP
Regular",TBA,In Person,TBA
15051,LBST 499 - Independent Study,"05-SUP
Regular",TBA,In Person,TBA
15052,LBST 499 - Independent Study,"06-SUP
Regular",TBA,In Person,TBA
15681,LBST 499 - Independent Study,"07-SUP
Regular",TBA,In Person,TBA
15853,LBST 499 - Independent Study,"08-SUP
Regular",TBA,In Person,TBA
