Class ID,Class Name,Section,Room,Instruction Type,Time
20422,LBST 101 - Introduction to the Social Sciences,"02-LEC
Regular",Hum 226 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
20423,LBST 101 - Introduction to the Social Sciences,"03-LEC
Regular",Hum 326B - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16669,LBST 300 - Introduction to Liberal Studies,"02-LEC
Regular",Hum 226 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
15942,LBST 302A - Historical Dimension of Liberal Studies,"01-DIS
Regular",Zoom,Fully Online,MoWe 10:00AM - 11:15AM
15943,LBST 302B - Historical Dimension of Liberal Studies,"01-DIS
Regular",Hum 326B - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
16671,LBST 303 - Liberal Studies in the Humanities and Arts,"01-DIS
Regular",Hum 326B - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16736,LBST 303 - Liberal Studies in the Humanities and Arts,"02-DIS
Regular",Hum 226 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
15945,LBST 304 - Liberal Studies in the Sciences,"01-DIS
Regular",Hum 226 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16481,LBST 304 - Liberal Studies in the Sciences,"02-DIS
Regular",Hum 224 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
15946,LBST 305 - Liberal Studies in the Social Sciences,"01-DIS
Regular",Zoom,Fully Online,MoWe 5:30PM - 6:45PM
16713,LBST 305 - Liberal Studies in the Social Sciences,"02-DIS
Regular",Hum 326B - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
20424,LBST 310 - The California Experience,"01-LEC
Regular",Hum 426 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
17769,LBST 315 - A European Tour,"01-DIS
Regular",Zoom,Fully Online,MoWe 2:30PM - 3:45PM
16990,LBST 331 - History of Science: Copernicus to the Present,"01-SEM
Regular",Hum 226 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
17284,LBST 331 - History of Science: Copernicus to the Present,"02-SEM
Regular",Hum 226 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
20498,LBST 335 - Science on the Silver Screen,"01-DIS
Regular",Zoom,Fully Online,MoWe 7:00PM - 8:15PM
16851,LBST 401 - Knowledge in the Arts and Sciences,"01-LEC
Regular",Hum 326B - Lecture Room,In Person,Tu 4:00PM - 6:45PM
16852,LBST 401 - Knowledge in the Arts and Sciences,"02-LEC
Regular",Hum 326B - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
16855,LBST 401 - Knowledge in the Arts and Sciences,"03-LEC
Regular",Hum 226 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
17165,LBST 482 - Interdisciplinary Thematic Research Seminar,"01-SEM
Regular",Hum 326B - Lecture Room,In Person,Th 4:00PM - 6:45PM
17917,LBST 488 - Senior Seminar in Environmental Studies,"01-SEM
Regular","Hum 226 - Lecture Room
Online",Mostly In-Person (Hybrid),"We 5:30PM - 6:45PM
TBA"
20427,LBST 489 - Senior Seminar in Gender Issues,"01-SEM
Regular",Hum 226 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
21589,LBST 491 - Senior Seminar in Literature and Sciences,"01-SEM
Regular",GH 240 - Seminar,In Person,MoWe 2:30PM - 3:45PM
17577,LBST 495 - Internship in Liberal Studies,"01-SUP
Regular",TBA,In Person,TBA
15947,LBST 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
15948,LBST 499 - Independent Study,"02-SUP
Regular",TBA,In Person,TBA
15949,LBST 499 - Independent Study,"03-SUP
Regular",TBA,In Person,TBA
15950,LBST 499 - Independent Study,"04-SUP
Regular",TBA,In Person,TBA
15951,LBST 499 - Independent Study,"05-SUP
Regular",TBA,In Person,TBA
16991,LBST 499 - Independent Study,"06-SUP
Regular",TBA,In Person,TBA
17072,LBST 499 - Independent Study,"07-SUP
Regular",TBA,In Person,TBA
17772,LBST 499 - Independent Study,"08-SUP
Regular",TBA,In Person,TBA
