Class ID,Class Name,Section,Room,Instruction Type,Time
15549,LING 102 - Languages of the World,"01-LEC
Regular",Hum 511 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
15630,LING 102 - Languages of the World,"02-LEC
Regular",Hum 511 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
15509,LING 106 - Language and Linguistics,"01-LEC
Regular",Hum 511 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
15683,LING 106 - Language and Linguistics,"02-LEC
Regular",Hum 511 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
15836,LING 106 - Language and Linguistics,"03-LEC
Regular",MH 617 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
16074,LING 106 - Language and Linguistics,"04-LEC
Regular",Hum 228 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
16080,LING 206 - Introduction to Language Structure and Language Use,"01-LEC
Regular",Zoom,Fully Online,TuTh 2:30PM - 3:45PM
15427,LING 305 - The English Language in America,"01-LEC
Regular",MH 552 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
15053,LING 351 - Introduction to Linguistic Phonetics and Phonology,"01-DIS
Regular",Hum 511 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
21203,LING 375 - Meaning and Mind,"01-DIS
Regular",Hum 125 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
15054,LING 406 - Descriptive Linguistics,"01-DIS
Regular",MH 552 - Lecture Room,In Person,Th 4:00PM - 6:45PM
15449,LING 412 - Sociolinguistics,"01-DIS
Regular",Hum 511 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
19608,LING 413 - Language Acquisition,"01-DIS
Regular",Hum 511 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
15417,LING 492 - Linguistic Fieldwork,"01-DIS
Regular",GH 335 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
19610,LING 507 - Grammatical Analysis,"01-SEM
Regular",GH 202 - Seminar,In Person,Th 4:00PM - 6:45PM
19609,LING 508 - Theories of Syntax,"01-SEM
Regular",Hum 415 - Lecture Room,In Person,We 4:00PM - 6:45PM
