Class ID,Class Name,Section,Room,Instruction Type,Time
16673,LING 106 - Language and Linguistics,"02-LEC
Regular",Hum 511 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
21719,LING 307 - Speech/Language Development,"01-DIS
Regular",KHS 108 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
16633,LING 351 - Introduction to Linguistic Phonetics and Phonology,"01-DIS
Regular",Hum 412 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
15952,LING 406 - Descriptive Linguistics,"01-DIS
Regular",GH 246 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
15953,LING 408 - Syntax,"01-DIS
Regular",Hum 511 - Lecture Room,In Person,We 4:00PM - 6:45PM
20165,LING 414 - English As A Global Language,"01-LEC
Regular",Hum 511 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
21718,LING 416 - Anthropological Linguistics,"01-DIS
Regular",MH 554 - Lecture Room,In Person,Th 4:00PM - 6:45PM
16425,LING 430 - Historical Linguistics,"01-DIS
Regular",Hum 511 - Lecture Room,In Person,Th 4:00PM - 6:45PM
20178,"LING 469 - Language, Sex Roles, and the Brain","01-DIS
Regular",MH 563 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
20179,LING 501 - Research Methods and Bibliography,"01-SEM
Regular",Hum 511 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
16717,LING 597 - Project,"01-SUP
Regular",TBA,In Person,TBA
