Class ID,Class Name,Section,Room,Instruction Type,Time
11885,MKTG 315 - Professional Selling,"01-DIS
Regular",SGMH 2405 - Lecture,In Person,MoWe 1:00PM - 2:15PM
11886,MKTG 315 - Professional Selling,"02-DIS
Regular",SGMH 2505 - Lecture,In Person,MoWe 8:30AM - 9:45AM
11872,MKTG 351 - Principles of Marketing,"01-LEC
Regular",SGMH 1406 - Lecture,In Person,MoWe 1:00PM - 2:15PM
11873,MKTG 351 - Principles of Marketing,"02-LEC
Regular",SGMH 1406 - Lecture,In Person,TuTh 8:30AM - 9:45AM
11874,MKTG 351 - Principles of Marketing,"03-LEC
Regular",SGMH 1502 - Lecture,In Person,TuTh 10:00AM - 11:15AM
11875,MKTG 351 - Principles of Marketing,"04-LEC
Regular",SGMH 1506 - Lecture,In Person,Mo 7:00PM - 9:45PM
11876,MKTG 351 - Principles of Marketing,"05-LEC
Regular",SGMH 1506 - Lecture,In Person,Th 7:00PM - 9:45PM
20043,MKTG 351 - Principles of Marketing,"06-LEC
Regular",SGMH 2112 - Computer Lab,In Person,Tu 7:00PM - 9:45PM
12148,MKTG 351 - Principles of Marketing,"07-LEC
Regular",GH 339 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
12149,MKTG 351 - Principles of Marketing,"08-LEC
Regular",GH 246 - Lecture Room,In Person,We 7:00PM - 9:45PM
12184,MKTG 351 - Principles of Marketing,"10-LEC
Regular","SGMH 2405 - Lecture
Zoom",Mostly Online w/ In-Person Mtg,"Mo 2:30PM - 3:45PM
We 2:30PM - 3:45PM"
12249,MKTG 351 - Principles of Marketing,"11-LEC
Regular",SGMH 1308 - Lecture,In Person,MoWe 10:00AM - 11:15AM
12263,MKTG 351 - Principles of Marketing,"12-LEC
Regular",SGMH 2211 - Lecture,In Person,MoWe 4:00PM - 5:15PM
20052,MKTG 351 - Principles of Marketing,"14-LEC
Regular",SGMH 2501 - Lecture,In Person,TuTh 10:00AM - 11:15AM
12470,MKTG 351 - Principles of Marketing,"15-LEC
Regular",SGMH 2211 - Lecture,In Person,MoWe 5:30PM - 6:45PM
20055,MKTG 351 - Principles of Marketing,"17-LEC
Regular",SGMH 2201 - Lecture,In Person,MoWe 8:30AM - 9:45AM
12478,MKTG 351 - Principles of Marketing,"20-LEC
Regular",SGMH 2211 - Lecture,In Person,We 7:00PM - 9:45PM
12535,MKTG 351 - Principles of Marketing,"22-LEC
Regular",SGMH 2505 - Lecture,In Person,Mo 4:00PM - 6:45PM
12150,MKTG 351 - Principles of Marketing,"40-LEC
Regular",SGMH 2211 - Lecture,In Person,MoWe 8:30AM - 9:45AM
11937,MKTG 351 - Principles of Marketing,"50-LEC
Regular",Online,Fully Online,TBA
11877,MKTG 351 - Principles of Marketing,"51-LEC
Regular",Online,Fully Online,TBA
12105,MKTG 351 - Principles of Marketing,"53-LEC
Regular",Online,Fully Online,TBA
12461,MKTG 351 - Principles of Marketing,"54-LEC
Regular",Online,Fully Online,TBA
12466,MKTG 351 - Principles of Marketing,"55-LEC
Regular",Online,Fully Online,TBA
12571,MKTG 351 - Principles of Marketing,"56-LEC
Regular",Zoom,Fully Online,TuTh 10:00AM - 11:15AM
11879,MKTG 353 - Marketing Information Technology,"01-DIS
Regular",SGMH 2311 - Computer Lab,In Person,MoWe 11:30AM - 12:45PM
11880,MKTG 353 - Marketing Information Technology,"02-DIS
Regular",SGMH 2105 - Computer Lab,In Person,TuTh 10:00AM - 11:15AM
11881,MKTG 353 - Marketing Information Technology,"03-DIS
Regular",SGMH 2108 - Computer Lab,In Person,TuTh 2:30PM - 3:45PM
11882,MKTG 353 - Marketing Information Technology,"04-DIS
Regular",SGMH 2113 - Computer Lab,In Person,Mo 7:00PM - 9:45PM
12215,MKTG 353 - Marketing Information Technology,"06-DIS
Regular",SGMH 2405 - Lecture,In Person,Mo 4:00PM - 6:45PM
11940,MKTG 353 - Marketing Information Technology,"50-DIS
Regular",Online,Fully Online,TBA
12158,MKTG 353 - Marketing Information Technology,"51-DIS
Regular",Online,Fully Online,TBA
12531,MKTG 353 - Marketing Information Technology,"53-DIS
Regular",Online,Fully Online,TBA
12267,MKTG 370 - Consumer Behavior,"01-DIS
Regular","SGMH 2211 - Lecture
Online",Mostly In-Person (Hybrid),"Mo 1:00PM - 2:15PM
TBA"
11883,MKTG 370 - Consumer Behavior,"02-DIS
Regular",SGMH 2505 - Lecture,In Person,TuTh 11:30AM - 12:45PM
