Class ID,Class Name,Section,Room,Instruction Type,Time
12135,MKTG 351 - Principles of Marketing,"05-LEC
Regular",SGMH 1506 - Lecture,In Person,Th 7:00PM - 9:45PM
12162,MKTG 351 - Principles of Marketing,"08-LEC
Regular",SGMH 1406 - Lecture,In Person,We 7:00PM - 9:45PM
12447,MKTG 351 - Principles of Marketing,"11-LEC
Regular",LH 303 - Lecture Room,In Person,Th 7:00PM - 9:45PM
12820,MKTG 351 - Principles of Marketing,"15-LEC
Regular",SGMH 2211 - Lecture,In Person,We 7:00PM - 9:45PM
20161,MKTG 351 - Principles of Marketing,"40-LEC
Regular",SGMH 2508 - Computer Lab,In Person,MoWe 8:30AM - 9:45AM
12123,MKTG 353 - Marketing Information Technology,"02-DIS
Regular",SGMH 2112 - Computer Lab,In Person,Th 7:00PM - 9:45PM
12124,MKTG 353 - Marketing Information Technology,"03-DIS
Regular",SGMH 2112 - Computer Lab,In Person,TuTh 2:30PM - 3:45PM
12813,MKTG 353 - Marketing Information Technology,"05-DIS
Regular",SGMH 2311 - Computer Lab,In Person,Tu 7:00PM - 9:45PM
12838,MKTG 353 - Marketing Information Technology,"06-DIS
Regular",SGMH 2108 - Computer Lab,In Person,Tu 7:00PM - 9:45PM
12510,MKTG 370 - Consumer Behavior,"05-DIS
Regular",CP 120 - Lecture Room,In Person,We 7:00PM - 9:45PM
12548,MKTG 379 - Marketing Research Methods,"04-DIS
Regular",SGMH 2405 - Lecture,In Person,Mo 7:00PM - 9:45PM
12307,MKTG 425 - Retail Marketing Strategy,"02-DIS
Regular",SGMH 2405 - Lecture,In Person,Mo 4:00PM - 6:45PM
12147,MKTG 430 - Sports Marketing,"01-DIS
Regular",SGMH 2405 - Lecture,In Person,We 7:00PM - 9:45PM
12434,MKTG 442 - Sales and Consumer Product Strategies,"01-SEM
Regular",SGMH 2307 - Lecture,In Person,TuTh 5:30PM - 6:45PM
12445,MKTG 443 - Marketing Analytics: Decision Making in the Information Age,"01-DIS
Regular",SGMH 2307 - Lecture,In Person,We 7:00PM - 9:45PM
21146,MKTG 443 - Marketing Analytics: Decision Making in the Information Age,"02-DIS
Regular",SGMH 2311 - Computer Lab,In Person,TuTh 2:30PM - 3:45PM
12128,MKTG 445 - Global Marketing,"03-DIS
Regular",SGMH 2112 - Computer Lab,In Person,We 7:00PM - 9:45PM
12644,MKTG 450 - Visual Marketing,"02-SEM
Regular",SGMH 2112 - Computer Lab,In Person,Tu 7:00PM - 9:45PM
12297,MKTG 462 - Marketing for Entrepreneurs,"01-DIS
Regular",SGMH 2211 - Lecture,In Person,Tu 7:00PM - 9:45PM
12129,MKTG 462 - Marketing for Entrepreneurs,"02-DIS
Regular",SGMH 2501 - Lecture,In Person,Th 7:00PM - 9:45PM
21169,MKTG 466 - A.I. in Marketing: The Next Frontier,"01-LEC
Regular",Zoom,Fully Online,MoWe 11:30AM - 12:45PM
12520,MKTG 485 - Multicultural Marketing,"01-SEM
Regular",SGMH 2405 - Lecture,In Person,We 4:00PM - 6:45PM
12130,MKTG 489 - Developing Marketing Strategies,"01-SEM
Regular",SGMH 2505 - Lecture,In Person,MoWe 8:30AM - 9:45AM
12327,MKTG 489 - Developing Marketing Strategies,"02-SEM
Regular",SGMH 2505 - Lecture,In Person,MoWe 10:00AM - 11:15AM
12131,MKTG 495 - Internship,"01-SUP
Regular",Zoom,Fully Online,Tu 7:00PM - 9:45PM
12132,MKTG 495 - Internship,"02-SUP
Regular",Zoom,Fully Online,We 7:00PM - 9:45PM
12148,MKTG 495 - Internship,"03-SUP
Regular",Online,Fully Online,TBA
12133,MKTG 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
12266,MKTG 519 - Marketing Management,"01-SEM
Regular",SGMH 2505 - Lecture,In Person,Th 7:00PM - 9:45PM
12321,MKTG 565 - Strategic Market Intelligence,"01-SEM
Regular",SGMH 2211 - Lecture,In Person,Th 7:00PM - 9:45PM
12134,MKTG 599 - Independent Graduate Research,"01-SUP
Regular",TBA,In Person,TBA
