Class ID,Class Name,Section,Room,Instruction Type,Time
14418,MSW 502 - Social Work Perspectives on Human Behavior II,"01-SEM
Regular",EC 023 - Lecture Room,In Person,Tu 1:00PM - 3:45PM
14419,MSW 502 - Social Work Perspectives on Human Behavior II,"02-SEM
Regular",EC 023 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
14420,MSW 502 - Social Work Perspectives on Human Behavior II,"03-SEM
Regular",EC 023 - Lecture Room,In Person,Th 1:00PM - 3:45PM
14697,MSW 502 - Social Work Perspectives on Human Behavior II,"04-SEM
Regular",LH 403B - Lecture Room,In Person,Th 4:00PM - 6:45PM
14071,MSW 503 - Social Work Perspectives on Human Behavior III,"01-SEM
Regular",Online,Fully Online,TBA
14078,MSW 503 - Social Work Perspectives on Human Behavior III,"02-SEM
Regular",Online,Fully Online,TBA
14088,MSW 503 - Social Work Perspectives on Human Behavior III,"03-SEM
Regular",Online,Fully Online,TBA
14614,MSW 503 - Social Work Perspectives on Human Behavior III,"04-SEM
Regular",EC 165 - Lecture Room,In Person,Mo 1:00PM - 3:45PM
14082,MSW 510 - Social Work Practice I,"01-SEM
Regular",EC 023 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
14086,MSW 510 - Social Work Practice I,"02-SEM
Regular",EC 109 - Lecture Room,In Person,We 1:00PM - 3:45PM
14093,MSW 510 - Social Work Practice I,"03-SEM
Regular",EC 203 - Lecture Room,In Person,We 4:00PM - 6:45PM
14328,MSW 510 - Social Work Practice I,"04-SEM
Regular",EC 203 - Lecture Room,In Person,Fr 9:00AM - 11:45AM
14616,MSW 510 - Social Work Practice I,"05-SEM
Regular",EC 165 - Lecture Room,In Person,Fr 9:00AM - 11:45AM
19922,MSW 510 - Social Work Practice I,"06-SEM
Regular",EC 124 - Lecture Room,In Person,Fr 9:00AM - 11:45AM
14079,MSW 512 - Child Welfare: Advanced Practice I,"01-SEM
Regular",EC 109 - Lecture Room,In Person,Tu 9:00AM - 11:45AM
14621,MSW 512 - Child Welfare: Advanced Practice I,"02-SEM
Regular",Hum 516 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
14070,MSW 514 - Community Mental Health: Advanced Practice I,"01-SEM
Regular",EC 044 - Lecture Room,In Person,Tu 1:00PM - 3:45PM
14094,MSW 514 - Community Mental Health: Advanced Practice I,"02-SEM
Regular",EC 165 - Lecture Room,In Person,Th 9:00AM - 11:45AM
