Class ID,Class Name,Section,Room,Instruction Type,Time
15282,MSW 501 - Social Work Perspectives on Human Behavior I,"03-SEM
Regular",EC 007 - Lecture Room,In Person,We 1:00PM - 3:45PM
15283,MSW 501 - Social Work Perspectives on Human Behavior I,"04-SEM
Regular",EC 007 - Lecture Room,In Person,We 4:00PM - 6:45PM
14875,MSW 511 - Social Work Practice II,"02-SEM
Regular",EC 034 - Lecture Room,In Person,We 4:00PM - 6:45PM
15623,MSW 511 - Social Work Practice II,"05-SEM
Regular",EC 203 - Lecture Room,In Person,Fr 9:00AM - 11:45AM
14719,MSW 521 - Social Welfare Policy and Services II,"01-SEM
Regular",EC 109 - Lecture Room,In Person,Mo 9:00AM - 11:45AM
15625,MSW 530 - Applied Social Work Research Methods I,"04-SEM
Regular",EC 109 - Lecture Room,In Person,We 1:00PM - 3:45PM
14736,MSW 541 - Social Work Field Instruction II,"01-SEM
Regular",Hum 513 - Lecture Room,In Person,Mo 9:00AM - 11:45AM
14903,MSW 541 - Social Work Field Instruction II,"04-SEM
Regular",EC 124 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
15285,MSW 541 - Social Work Field Instruction II,"07-SEM
Regular",EC 007 - Lecture Room,In Person,Fr 12:00PM - 2:45PM
14948,MSW 543 - Advanced Social Work Field Instruction II,"02-SEM
Regular",LH 403B - Lecture Room,In Person,Tu 1:00PM - 3:45PM
15232,MSW 543 - Advanced Social Work Field Instruction II,"04-SEM
Regular",EC 124 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
15692,MSW 543 - Advanced Social Work Field Instruction II,"07-SEM
Regular",EC 205 - Lecture Room,In Person,Th 9:00AM - 11:45AM
20960,MSW 564 - Macro Social Work in Communities and Organizations,"04-SEM
Regular",EC 023 - Lecture Room,In Person,Th 4:00PM - 6:45PM
14887,MSW 570 - Social Work Practice with Addiction Disorders,"01-SEM
Regular",EC 109 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
20962,MSW 570 - Social Work Practice with Addiction Disorders,"02-SEM
Regular",EC 124 - Lecture Room,In Person,Th 4:00PM - 6:45PM
20964,MSW 573 - Trauma-Focused Social Work Practice,"02-SEM
Regular",EC 165 - Lecture Room,In Person,Th 4:00PM - 6:45PM
15488,MSW 578 - Social Work Practice with Latino/a Populations,"01-LEC
Regular",LH 403B - Lecture Room,In Person,Th 1:00PM - 3:45PM
14923,MSW 597 - MSW Master's Project,"02-SUP
Regular",EC 205 - Lecture Room,In Person,Tu 9:00AM - 11:45AM
