Class ID,Class Name,Section,Room,Instruction Type,Time
19744,MATH 10S - Mathematics For Liberal Arts Supplement,"01-LEC
Regular",MH 502 - Lecture Room,In Person,TuTh 9:00AM - 9:50AM
18292,MATH 10S - Mathematics For Liberal Arts Supplement,"02-LEC
Regular",MH 213 - Lecture Room,In Person,MoWe 10:00AM - 10:50AM
19745,MATH 10S - Mathematics For Liberal Arts Supplement,"03-LEC
Regular",MH 487 - Lecture Room,In Person,MoWe 12:00PM - 12:50PM
19746,MATH 10S - Mathematics For Liberal Arts Supplement,"04-LEC
Regular",MH 380 - Teaching Lab,In Person,TuTh 12:00PM - 12:50PM
19836,MATH 20S - Elementary Statistics Supplement,"02-LEC
Regular",MH 501 - Computer Lab,In Person,Th 8:00AM - 8:50AM
18146,MATH 20S - Elementary Statistics Supplement,"03-LEC
Regular",MH 501 - Computer Lab,In Person,Mo 2:00PM - 2:50PM
22065,MATH 20S - Elementary Statistics Supplement,"05-LEC
Regular",MH 452 - Computer Lab,In Person,Tu 12:00PM - 12:50PM
18258,MATH 106 - Integral Calculus and Differential Equations,"01-LEC
Regular",MH 390 - Teaching Lab,In Person,TuTh 10:00AM - 11:50AM
20976,MATH 106L - Calculus II - Laboratory,"01-LAB
Regular",MH 390 - Teaching Lab,In Person,MoWe 10:00AM - 11:15AM
18201,MATH 107 - Introduction to Computational Linear Algebra,"01-LEC
Regular",MH 452 - Computer Lab,In Person,TuTh 8:00AM - 9:50AM
18202,MATH 107 - Introduction to Computational Linear Algebra,"02-LEC
Regular",MH 452 - Computer Lab,In Person,MoWe 1:00PM - 2:50PM
20794,MATH 110 - Mathematics for Liberal Arts Students,"05-DIS
Regular",MH 553 - Computer Lab,In Person,Fr 10:00AM - 12:45PM
20801,MATH 110 - Mathematics for Liberal Arts Students,"12-DIS
Regular",MH 553 - Computer Lab,In Person,MoWe 4:00PM - 5:15PM
20804,MATH 110 - Mathematics for Liberal Arts Students,"15-DIS
Regular",MH 553 - Computer Lab,In Person,TuTh 5:30PM - 6:45PM
