Class ID,Class Name,Section,Room,Instruction Type,Time
13636,EGME 205 - Digital Computation,"03-DIS
Regular",CS 304 - Teaching Lab,In Person,MoWe 1:00PM - 2:15PM
22058,EGME 304 - Thermodynamics,"01-DIS
Regular",GH 302 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
13995,EGME 306A - Solid Mechanics Laboratory,"01-LAB
Regular",E-NE042 - Lecture Room,In Person,We 11:30AM - 2:15PM
13594,EGME 306B - Fluids and Thermal Laboratory,"04-LAB
Regular",E-NE042 - Lecture Room,In Person,Fr 11:30AM - 2:15PM
22052,EGME 306B - Fluids and Thermal Laboratory,"05-LAB
Regular",E-NE042 - Lecture Room,In Person,Fr 8:30AM - 11:15AM
13997,EGME 308 - Engineering Analysis,"01-DIS
Regular",E-NE042 - Lecture Room,In Person,MoWe 5:30PM - 6:45PM
13596,EGME 322L - Introduction to Computer-Aided Design,"01-DIS
Regular",CS 304 - Teaching Lab,In Person,MoWe 7:00PM - 7:25PM
13600,EGME 322L - Introduction to Computer-Aided Design,"02-LAB
Regular",CS 304 - Teaching Lab,In Person,MoWe 7:25PM - 9:45PM
13805,EGME 331 - Solid Mechanics,"01-DIS
Regular",Hum 414 - Lecture Room,In Person,TuTh 5:30PM - 6:45PM
22063,EGME 331 - Solid Mechanics,"02-DIS
Regular",GH 208 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
14001,EGME 407 - Heat Transfer,"03-DIS
Regular",E-SE022 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
13648,EGME 407 - Heat Transfer,"06-DIS
Regular",E 201 - Teaching Lab,In Person,MoWe 11:30AM - 12:45PM
21996,EGME 411 - Mechanical Control Systems,"02-DIS
Regular",E-NE042 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
13559,EGME 419 - Design Project II,"01-LAB
Regular",CS 304 - Teaching Lab,In Person,TuTh 9:00AM - 11:15AM
13998,EGME 421 - Machine Design,"01-DIS
Regular",E 201 - Teaching Lab,In Person,TuTh 7:00PM - 8:15PM
13712,EGME 422 - Advanced Computer-Aided Design,"01-DIS
Regular",CS 304 - Teaching Lab,In Person,Sa 10:00AM - 12:45PM
13646,EGME 431 - Mechanical Vibrations,"04-DIS
Regular",E 221 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
13649,EGME 431 - Mechanical Vibrations,"05-DIS
Regular",E 201 - Teaching Lab,In Person,MoWe 10:00AM - 11:15AM
14002,EGME 438 - Analytical Methods in Engineering,"02-DIS
Regular",E-SE022 - Lecture Room,In Person,TuTh 7:00PM - 8:15PM
22059,EGME 459 - Plastics and Other Non-Metallics,"02-DIS
Regular",E 201 - Teaching Lab,In Person,Fr 4:00PM - 6:45PM
22035,EGME 463 - Introduction to Robotics,"01-DIS
Regular",CS 309 - Teaching Lab,In Person,Tu 5:30PM - 8:15PM
13640,EGME 476B - Energy and Power Laboratory,"07-LEC
Regular",E-SE022 - Lecture Room,In Person,We 11:30AM - 12:20PM
13641,EGME 476B - Energy and Power Laboratory,"08-LAB
Regular",E-SE022 - Lecture Room,In Person,We 12:20PM - 2:15PM
13706,EGME 476B - Energy and Power Laboratory,"09-LEC
Regular",E-SE022 - Lecture Room,In Person,Tu 11:30AM - 12:20PM
13707,EGME 476B - Energy and Power Laboratory,"10-LAB
Regular",E-SE022 - Lecture Room,In Person,Tu 12:20PM - 2:15PM
14072,EGME 476B - Energy and Power Laboratory,"11-LEC
Regular",E-SE022 - Lecture Room,In Person,We 8:30AM - 9:20AM
14073,EGME 476B - Energy and Power Laboratory,"12-LAB
Regular",E-SE022 - Lecture Room,In Person,We 9:20AM - 11:15AM
13651,EGME 538 - Advanced Engineering Analysis,"01-SEM
Regular",E 201 - Teaching Lab,In Person,MoWe 7:00PM - 8:15PM
22036,EGME 563 - Human Kinematics in Advanced Mechanical Design,"01-LEC
Regular",CS 309 - Teaching Lab,In Person,Th 5:30PM - 8:15PM
13560,EGME 597 - Project,"01-SUP
Regular",TBA,In Person,TBA
13592,EGME 597 - Project,"03-SUP
Regular",TBA,In Person,TBA
13561,EGME 597 - Project,"04-SUP
Regular",TBA,In Person,TBA
13564,EGME 598 - Thesis,"01-SUP
Regular",TBA,In Person,TBA
13565,EGME 598 - Thesis,"02-SUP
Regular",TBA,In Person,TBA
13593,EGME 598 - Thesis,"03-SUP
Regular",TBA,In Person,TBA
14101,EGME 599 - Independent Graduate Study,"01-SUP
Regular",TBA,In Person,TBA
