Class ID,Class Name,Section,Room,Instruction Type,Time
14060,MLSC 101 - Leadership and Personal Development,"01-LEC
Regular",LH 403B - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
14061,MLSC 101 - Leadership and Personal Development,"02-ACT
Regular","Other - Field
Other - Field",In Person,"MoWeFr 6:00AM - 7:00AM
Fr 8:00AM - 11:00AM"
14062,MLSC 101 - Leadership and Personal Development,"03-LEC
Regular",TBA,In Person,TBA
14063,MLSC 101 - Leadership and Personal Development,"04-ACT
Regular",TBA,In Person,TBA
14056,MLSC 201 - Innovative Team Leadership,"01-LEC
Regular",EC 165 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
14057,MLSC 201 - Innovative Team Leadership,"02-LAB
Regular","Other - Field
Other - Field",In Person,"MoWeFr 6:00AM - 7:00AM
Fr 8:00AM - 11:00AM"
14058,MLSC 201 - Innovative Team Leadership,"03-LEC
Regular",TBA,In Person,TBA
14059,MLSC 201 - Innovative Team Leadership,"04-LAB
Regular",See Class Note Mtg Location,In Person,Fr 8:00AM - 11:00AM
14064,MLSC 301 - Adaptive Tactical Leadership,"01-LEC
Regular",EC 044 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
14065,MLSC 301 - Adaptive Tactical Leadership,"02-LAB
Regular","Other - Field
Other - Field",In Person,"MoWeFr 6:00AM - 7:00AM
Fr 8:00AM - 11:00AM"
14054,MLSC 401 - Developmental Leadership,"01-LEC
Regular",EC 049 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
14055,MLSC 401 - Developmental Leadership,"02-LAB
Regular","Other - Field
Other - Field",In Person,"MoWeFr 6:00AM - 7:00AM
Fr 8:00AM - 11:00AM"
14053,MLSC 450 - Military History Seminar,"01-SEM
Regular",EC 124 - Lecture Room,In Person,Tu 8:00AM - 10:50AM
14386,MLSC 499 - Independent Study,"02-SUP
Regular",Other - Field,In Person,Fr 11:30AM - 2:20PM
