Class ID,Class Name,Section,Room,Instruction Type,Time
14133,NURS 305 - Professional Nursing,"51-LEC
Regular",Online,Fully Online,TBA
14170,NURS 305 - Professional Nursing,"52-LEC
Regular",Online,Fully Online,TBA
14630,NURS 305 - Professional Nursing,"53-LEC
Regular",Online,Fully Online,TBA
14121,NURS 310 - Nursing Research/Evidence-Based Practice,"50-LEC
Regular",Online,Fully Online,TBA
14134,NURS 310 - Nursing Research/Evidence-Based Practice,"51-LEC
Regular",Online,Fully Online,TBA
14347,NURS 310 - Nursing Research/Evidence-Based Practice,"52-LEC
Regular",Online,Fully Online,TBA
14154,NURS 321 - Health Assessment,"01-LEC
Regular",KHS 182L - Lecture Room,In Person,Mo 11:00AM - 1:50PM
14440,NURS 321 - Health Assessment,"02-LEC
Regular",KHS 182L - Lecture Room,In Person,Mo 8:00AM - 10:50AM
14123,NURS 321L - Health Assessment Professional Practice Laboratory,"01-LAB
Regular",KHS 182E - Nursing Skills Lab,In Person,Tu 8:00AM - 10:50AM
14142,NURS 321L - Health Assessment Professional Practice Laboratory,"02-LAB
Regular",KHS 182E - Nursing Skills Lab,In Person,Mo 2:00PM - 4:50PM
14122,NURS 321L - Health Assessment Professional Practice Laboratory,"03-LAB
Regular",KHS 182E - Nursing Skills Lab,In Person,Tu 2:00PM - 4:50PM
14156,NURS 321L - Health Assessment Professional Practice Laboratory,"04-LAB
Regular",KHS 182E - Nursing Skills Lab,In Person,Th 8:00AM - 10:50AM
14365,NURS 321L - Health Assessment Professional Practice Laboratory,"05-LAB
Regular",KHS 182E - Nursing Skills Lab,In Person,We 2:00PM - 4:50PM
14366,NURS 321L - Health Assessment Professional Practice Laboratory,"06-LAB
Regular",KHS 182E - Nursing Skills Lab,In Person,Th 11:00AM - 1:50PM
14367,NURS 321L - Health Assessment Professional Practice Laboratory,"07-LAB
Regular",KHS 182E - Nursing Skills Lab,In Person,Tu 11:00AM - 1:50PM
14132,NURS 322 - Concepts of Professional Nursing,"01-LEC
Regular",EC 205 - Lecture Room,In Person,We 8:00AM - 10:50AM
14100,NURS 322 - Concepts of Professional Nursing,"02-LEC
Regular",EC 205 - Lecture Room,In Person,We 11:00AM - 1:50PM
14368,NURS 322 - Concepts of Professional Nursing,"03-LEC
Regular",EC 009 - Lecture Room,In Person,We 11:00AM - 1:50PM
14369,NURS 322 - Concepts of Professional Nursing,"04-LEC
Regular",EC 009 - Lecture Room,In Person,We 8:00AM - 10:50AM
14155,NURS 323 - Integrated Pathophysiology and Pharmacology,"01-LEC
Regular",EC 102 - Conference Room,In Person,MoWe 8:00AM - 10:20AM
14441,NURS 323 - Integrated Pathophysiology and Pharmacology,"02-LEC
Regular",TBA,In Person,MoWe 11:30AM - 1:50PM
14348,NURS 340 - Health Assessment,"10-LEC
Regular",See Class Note Mtg Location,In Person,Mo 8:00AM - 9:50AM
14164,NURS 340 - Health Assessment,"50-LEC
Regular",Online,Fully Online,TBA
14165,NURS 340 - Health Assessment,"51-LEC
Regular",Online,Fully Online,TBA
14349,NURS 340 - Health Assessment,"52-LEC
Regular",Online,Fully Online,TBA
14350,NURS 340L - Health Assessment Lab,"02-LAB
Regular","Online
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab",Mostly In-Person (Hybrid),"We 5:00PM - 7:50PM
We 5:00PM - 7:50PM
We 5:00PM - 7:50PM
We 5:00PM - 7:50PM
We 5:00PM - 7:50PM
We 5:00PM - 7:50PM
We 5:00PM - 7:50PM
We 5:00PM - 7:50PM
We 5:00PM - 7:50PM"
14442,NURS 340L - Health Assessment Lab,"03-LAB
Regular","Online
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab",Mostly In-Person (Hybrid),"Sa 8:00AM - 4:30PM
Sa 8:00AM - 4:30PM
Sa 8:00AM - 4:30PM
Sa 8:00AM - 4:30PM"
14172,NURS 340L - Health Assessment Lab,"04-LAB
Regular","Online
KHS 182L - Lecture Room
KHS 182L - Lecture Room
KHS 182L - Lecture Room",Mostly In-Person (Hybrid),"Sa 8:00AM - 4:30PM
Sa 8:00AM - 4:30PM
Sa 8:00AM - 4:30PM
Sa 8:00AM - 4:30PM"
14351,NURS 340L - Health Assessment Lab,"05-LAB
Regular","Online
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab",Mostly In-Person (Hybrid),"Su 8:00AM - 4:30PM
Su 8:00AM - 4:30PM
Su 8:00AM - 4:30PM
Su 8:00AM - 4:30PM"
14577,NURS 340L - Health Assessment Lab,"06-LAB
Regular","Online
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab
KHS 182E - Nursing Skills Lab",Mostly In-Person (Hybrid),"Su 8:00AM - 4:30PM
Su 8:00AM - 4:30PM
Su 8:00AM - 4:30PM
Su 8:00AM - 4:30PM"
14486,NURS 340L - Health Assessment Lab,"07-LAB
Regular","Online
EC 013 - Nurs Teaching Lab
EC 013 - Nurs Teaching Lab
EC 013 - Nurs Teaching Lab",Mostly In-Person (Hybrid),"Su 8:00AM - 4:30PM
Su 8:00AM - 4:30PM
Su 8:00AM - 4:30PM
Su 8:00AM - 4:30PM"
14576,NURS 340L - Health Assessment Lab,"10-LAB
Regular","Online
See Class Note Mtg Location
See Class Note Mtg Location
See Class Note Mtg Location
See Class Note Mtg Location
See Class Note Mtg Location
See Class Note Mtg Location
See Class Note Mtg Location
See Class Note Mtg Location",Mostly In-Person (Hybrid),"Th 5:00PM - 7:50PM
Th 5:00PM - 7:50PM
Th 5:00PM - 7:50PM
Th 5:00PM - 7:50PM
Th 5:00PM - 7:50PM
Th 5:00PM - 7:50PM
Th 5:00PM - 7:50PM
Th 5:00PM - 7:50PM
Th 5:00PM - 7:50PM"
14575,NURS 340L - Health Assessment Lab,"11-LAB
Regular","See Class Note Mtg Location
Online",Mostly Online w/ In-Person Mtg,"Mo 10:15AM - 1:45PM
TBA"
14574,NURS 340L - Health Assessment Lab,"12-LAB
Regular","See Class Note Mtg Location
Online",Mostly Online w/ In-Person Mtg,"Mo 10:15AM - 1:45PM
TBA"
14865,NURS 345 - Pathophysiology,"11-LEC
Regular",See Class Note Mtg Location,In Person,Mo 8:00AM - 10:45AM
14166,NURS 345 - Pathophysiology,"50-LEC
Regular",Online,Fully Online,TBA
14167,NURS 345 - Pathophysiology,"51-LEC
Regular",Online,Fully Online,TBA
14511,NURS 390 - Critical Thinking in Nursing,"01-LEC
Regular",EC 023 - Lecture Room,In Person,Mo 2:00PM - 3:50PM
14169,NURS 399 - Peer Mentoring for Nursing Student Success,"01-SEM
Regular",Zoom,Fully Online,Mo 4:00PM - 7:00PM
14677,NURS 402 - Population Health Nursing,"03-LEC
Regular",TBA,In Person,Mo 8:00AM - 10:50AM
14168,NURS 402 - Population Health Nursing,"50-LEC
Regular",Online,Fully Online,TBA
14352,NURS 402 - Population Health Nursing,"52-LEC
Regular",Online,Fully Online,TBA
14489,NURS 402 - Population Health Nursing,"53-LEC
Regular",Online,Fully Online,TBA
14177,NURS 402L - Population Health Nursing Lab,"01-LAB
Regular",See Class Note Mtg Location,In Person,We 8:00AM - 8:00PM
14178,NURS 402L - Population Health Nursing Lab,"02-LAB
Regular",See Class Note Mtg Location,In Person,We 8:00AM - 8:00PM
14179,NURS 402L - Population Health Nursing Lab,"03-LAB
Regular",See Class Note Mtg Location,In Person,We 8:00AM - 8:00PM
14180,NURS 402L - Population Health Nursing Lab,"04-LAB
Regular",See Class Note Mtg Location,In Person,Th 8:00AM - 8:00PM
14181,NURS 402L - Population Health Nursing Lab,"05-LAB
Regular",See Class Note Mtg Location,In Person,Mo 8:00AM - 8:00PM
14631,NURS 402L - Population Health Nursing Lab,"06-LAB
Regular",See Class Note Mtg Location,In Person,Th 8:00AM - 8:00PM
14182,NURS 402L - Population Health Nursing Lab,"07-LAB
Regular",See Class Note Mtg Location,In Person,We 8:00AM - 8:00PM
14183,NURS 402L - Population Health Nursing Lab,"08-LAB
Regular",See Class Note Mtg Location,In Person,Tu 8:00AM - 8:00PM
14184,NURS 402L - Population Health Nursing Lab,"09-LAB
Regular",See Class Note Mtg Location,In Person,Sa 8:00AM - 8:00PM
14353,NURS 402L - Population Health Nursing Lab,"11-LAB
Regular",See Class Note Mtg Location,In Person,Fr 8:00AM - 8:00PM
14152,NURS 403 - Foundations of Nursing Practice,"01-LEC
Regular",KHS 182L - Lecture Room,In Person,Tu 8:00AM - 10:50AM
14109,NURS 403L - Foundations of Nursing Practice Lab,"01-LAB
Regular",See Class Note Mtg Location,In Person,Fr 6:00AM - 6:00PM
