Class ID,Class Name,Section,Room,Instruction Type,Time
15290,PHIL 100 - Introduction to Philosophy,"01-LEC
Regular",LH 304 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
15291,PHIL 100 - Introduction to Philosophy,"02-LEC
Regular",Hum 125 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
15292,PHIL 100 - Introduction to Philosophy,"03-LEC
Regular",LH 304 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
15443,PHIL 100 - Introduction to Philosophy,"05-LEC
Regular",GH 335 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
15749,PHIL 100 - Introduction to Philosophy,"06-LEC
Regular",Hum 521 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
16536,PHIL 100 - Introduction to Philosophy,"07-LEC
Regular",Hum 521 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
16848,PHIL 100 - Introduction to Philosophy,"08-LEC
Regular",Hum 521 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
19757,PHIL 100 - Introduction to Philosophy,"09-LEC
Regular",Hum 521 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
19758,PHIL 100 - Introduction to Philosophy,"10-LEC
Regular",LH 304 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
16088,PHIL 100 - Introduction to Philosophy,"50-LEC
Regular",Online,Fully Online,TBA
21363,PHIL 100 - Introduction to Philosophy,"51-LEC
Regular",Online,Fully Online,TBA
21373,PHIL 100 - Introduction to Philosophy,"52-LEC
Regular",Zoom,Fully Online,TuTh 1:00PM - 2:15PM
16841,"PHIL 101 - Meaning, Purpose, and the Good Life","01-LEC
Regular",EC 032 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
16844,"PHIL 101 - Meaning, Purpose, and the Good Life","02-LEC
Regular",EC 032 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
15057,PHIL 105 - Critical Thinking,"01-DIS
Regular",Hum 125 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
15059,PHIL 105 - Critical Thinking,"03-DIS
Regular",GH 335 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
15060,PHIL 105 - Critical Thinking,"04-DIS
Regular",EC 032 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
15351,PHIL 105 - Critical Thinking,"05-DIS
Regular",Hum 521 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
15352,PHIL 105 - Critical Thinking,"06-DIS
Regular",LH 304 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
16136,PHIL 105 - Critical Thinking,"07-DIS
Regular",Hum 125 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
16138,PHIL 105 - Critical Thinking,"08-DIS
Regular",Hum 521 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
16287,PHIL 105 - Critical Thinking,"09-DIS
Regular",LH 304 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
16288,PHIL 105 - Critical Thinking,"10-DIS
Regular",GH 339 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16289,PHIL 105 - Critical Thinking,"11-DIS
Regular",Hum 521 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
16290,PHIL 105 - Critical Thinking,"12-DIS
Regular",GH 335 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
16840,PHIL 105 - Critical Thinking,"13-DIS
Regular",Hum 521 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16843,PHIL 105 - Critical Thinking,"14-DIS
Regular",MH 657 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
16847,PHIL 105 - Critical Thinking,"15-DIS
Regular",Hum 414 - Lecture Room,In Person,TuTh 5:30PM - 6:45PM
16849,PHIL 105 - Critical Thinking,"16-DIS
Regular",Hum 125 - Lecture Room,In Person,MoWe 5:30PM - 6:45PM
15882,PHIL 105 - Critical Thinking,"50-DIS
Regular",Online,Fully Online,TBA
21350,PHIL 105 - Critical Thinking,"51-DIS
Regular",Hum 224 - Lecture Room,In Person,We 7:00PM - 9:45PM
15061,PHIL 106 - Introduction to Logic,"01-DIS
Regular",Hum 521 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
15062,PHIL 106 - Introduction to Logic,"02-DIS
Regular",GH 339 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
15063,PHIL 106 - Introduction to Logic,"03-DIS
Regular",Hum 521 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
15064,PHIL 106 - Introduction to Logic,"04-DIS
Regular",LH 304 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
15364,PHIL 106 - Introduction to Logic,"05-DIS
Regular",LH 304 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
15381,PHIL 106 - Introduction to Logic,"06-DIS
Regular",EC 032 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
15834,PHIL 106 - Introduction to Logic,"07-DIS
Regular",LH 304 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16291,PHIL 106 - Introduction to Logic,"08-DIS
Regular",Hum 521 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
16292,PHIL 106 - Introduction to Logic,"09-DIS
Regular",Hum 521 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
16293,PHIL 106 - Introduction to Logic,"10-DIS
Regular",LH 304 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
16845,PHIL 106 - Introduction to Logic,"11-DIS
Regular",LH 404 - Lecture Room,In Person,We 7:00PM - 9:45PM
19790,PHIL 106 - Introduction to Logic,"12-DIS
Regular",EC 032 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
19791,PHIL 106 - Introduction to Logic,"13-DIS
Regular",Hum 521 - Lecture Room,In Person,TuTh 5:30PM - 6:45PM
16846,PHIL 120 - Introduction to Ethics,"01-DIS
Regular",MH 657 - Lecture Room,In Person,TuTh 5:30PM - 6:45PM
16842,PHIL 133 - Explore Core: Truth,"01-DIS
Regular",MH 657 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
19792,"PHIL 227 - Video Games, the Arts and Philosophy","01-LEC
Regular",Hum 125 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
15165,PHIL 290 - History of Philosophy: Greek Philosophy,"01-DIS
Regular",Hum 326B - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
15293,PHIL 300 - History of Philosophy: Rationalism and Empiricism,"01-DIS
Regular",EC 032 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
15682,PHIL 300 - History of Philosophy: Rationalism and Empiricism,"02-DIS
Regular",Hum 125 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
15750,PHIL 303 - Introduction to the Philosophy of Science,"01-DIS
Regular",Hum 521 - Lecture Room,In Person,MoWe 5:30PM - 6:45PM
15616,PHIL 311 - Aesthetics: Philosophy of Art and Beauty,"01-DIS
Regular",Hum 125 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
15775,PHIL 312 - Business and Professional Ethics,"01-DIS
Regular",MH 657 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
16537,PHIL 312 - Business and Professional Ethics,"02-DIS
Regular",Hum 128 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
16850,PHIL 312 - Business and Professional Ethics,"50-DIS
Regular",Online,Fully Online,TBA
21360,PHIL 312 - Business and Professional Ethics,"51-DIS
Regular",Online,Mostly Online w/ In-Person Mtg,TBA
15281,PHIL 314 - Medical Ethics,"01-DIS
Regular",MH 657 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
15444,PHIL 315 - Philosophical Argument and Writing,"01-DIS
Regular",MH 657 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
19793,PHIL 315 - Philosophical Argument and Writing,"02-DIS
Regular",MOD 109 - Computer Lab (PC),In Person,TuTh 10:00AM - 11:15AM
15294,PHIL 320 - Contemporary Moral Issues,"01-DIS
Regular",LH 304 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
15445,PHIL 320 - Contemporary Moral Issues,"02-DIS
Regular",MH 663 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
19796,PHIL 320 - Contemporary Moral Issues,"03-DIS
Regular",MH 406 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
15871,PHIL 320 - Contemporary Moral Issues,"50-DIS
Regular",Zoom,Fully Online,MoWe 5:00PM - 6:15PM
21279,PHIL 320 - Contemporary Moral Issues,"53-DIS
Regular",Online,Fully Online,TBA
15667,PHIL 323 - Existentialism,"01-DIS
Regular",LH 402 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
15065,PHIL 325 - Philosophy of Sex and Love,"01-LEC
Regular",EC 032 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
15310,PHIL 325 - Philosophy of Sex and Love,"02-LEC
Regular",LH 402 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
15382,PHIL 325 - Philosophy of Sex and Love,"03-LEC
Regular",EC 032 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
15686,PHIL 345 - Social and Political Philosophy,"01-DIS
Regular",MH 657 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
15370,"PHIL 349 - Philosophy, Literature and Cinema","01-DIS
Regular",Hum 521 - Lecture Room,In Person,We 7:00PM - 9:45PM
15991,PHIL 350 - Asian Philosophy,"01-LEC
Regular",Hum 125 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
16538,PHIL 355 - Philosophy and Law in America,"01-DIS
Regular",MH 657 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
15806,PHIL 368 - First Course in Symbolic Logic,"01-DIS
Regular",Hum 125 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
19797,PHIL 375 - Meaning and Mind,"01-DIS
Regular",Hum 125 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
15992,"PHIL 377 - Philosophical Approaches to Race, Class, and Gender","01-SEM
Regular",MH 657 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
16145,PHIL 379 - American Philosophy,"01-DIS
Regular",MH 657 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
19803,PHIL 383 - Postmodernism,"01-DIS
Regular",Hum 125 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
15341,PHIL 399 - Directed Study,"01-SUP
Regular",TBA,In Person,TBA
15342,PHIL 399 - Directed Study,"02-SUP
Regular",TBA,In Person,TBA
15343,PHIL 399 - Directed Study,"03-SUP
Regular",TBA,In Person,TBA
