Class ID,Class Name,Section,Room,Instruction Type,Time
18224,PHYS 101 - Survey of Physics,"01-LEC
Regular",MH 682 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
18251,PHYS 101L - Survey of Physics Laboratory,"01-LAB
Regular",MH 605 - Teaching Lab,In Person,Mo 3:00PM - 5:50PM
20964,PHYS 155 - Quantum Computing for Everyone,"01-LEC
Regular",Online,Fully Online,TBA
17996,PHYS 211 - Elementary Physics,"01-LEC
Regular",MH 682 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
18187,PHYS 211 - Elementary Physics,"02-LEC
Regular",MH 682 - Lecture Room,In Person,MoWe 5:30PM - 6:45PM
18724,PHYS 211 - Elementary Physics,"03-LEC
Regular",MH 682 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
17997,PHYS 211L - Elementary Physics: Laboratory,"02-LAB
Regular",MH 650 - Physics Teaching Lab,In Person,Tu 11:30AM - 2:20PM
18421,PHYS 211L - Elementary Physics: Laboratory,"03-LAB
Regular",MH 650 - Physics Teaching Lab,In Person,Tu 3:00PM - 5:50PM
18157,PHYS 211L - Elementary Physics: Laboratory,"06-LAB
Regular",MH 650 - Physics Teaching Lab,In Person,We 11:30AM - 2:20PM
18165,PHYS 211L - Elementary Physics: Laboratory,"07-LAB
Regular",MH 650 - Physics Teaching Lab,In Person,We 3:00PM - 5:50PM
18832,PHYS 211L - Elementary Physics: Laboratory,"10-LAB
Regular",MH 650 - Physics Teaching Lab,In Person,Th 11:30AM - 2:20PM
20845,PHYS 211L - Elementary Physics: Laboratory,"11-LAB
Regular",MH 650 - Physics Teaching Lab,In Person,Th 3:00PM - 5:50PM
18848,PHYS 212 - Elementary Physics,"01-LEC
Regular",MH 682 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
18762,PHYS 212 - Elementary Physics,"02-LEC
Regular",MH 682 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
18931,PHYS 212L - Elementary Physics: Laboratory,"01-LAB
Regular",MH 605 - Teaching Lab,In Person,Tu 11:30AM - 2:20PM
18236,PHYS 212L - Elementary Physics: Laboratory,"02-LAB
Regular",MH 605 - Teaching Lab,In Person,Tu 3:00PM - 5:50PM
18276,PHYS 212L - Elementary Physics: Laboratory,"04-LAB
Regular",MH 605 - Teaching Lab,In Person,We 11:30AM - 2:20PM
20848,PHYS 212L - Elementary Physics: Laboratory,"05-LAB
Regular",MH 605 - Teaching Lab,In Person,We 3:00PM - 5:50PM
18278,PHYS 212L - Elementary Physics: Laboratory,"08-LAB
Regular",MH 605 - Teaching Lab,In Person,Th 11:30AM - 2:20PM
20849,PHYS 212L - Elementary Physics: Laboratory,"09-LAB
Regular",MH 605 - Teaching Lab,In Person,Th 3:00PM - 5:50PM
18849,PHYS 225 - Fundamental Physics: Mechanics,"01-LEC
Regular",SGMH 1406 - Lecture,In Person,MoWeFr 11:00AM - 11:50AM
18297,PHYS 225 - Fundamental Physics: Mechanics,"02-LEC
Regular",SGMH 1502 - Lecture,In Person,MoWeFr 8:00AM - 8:50AM
18981,PHYS 225 - Fundamental Physics: Mechanics,"03-LEC
Regular",GH 252 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
18855,PHYS 225L - Fundamental Physics: Laboratory,"01-LAB
Regular",MH 656 - Teaching Lab,In Person,Mo 11:30AM - 2:20PM
