Class ID,Class Name,Section,Room,Instruction Type,Time
15068,POSC 100 - American Government,"01-LEC
Regular",Hum 123 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
15835,POSC 100 - American Government,"02-LEC
Regular",LH 401A - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
15069,POSC 100 - American Government,"03-LEC
Regular",GH 248 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
15765,POSC 100 - American Government,"04-LEC
Regular",Hum 123 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16069,POSC 100 - American Government,"05-LEC
Regular",GH 246 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16819,POSC 100 - American Government,"06-LEC
Regular",GH 248 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
16068,POSC 100 - American Government,"07-LEC
Regular",Hum 123 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
16820,POSC 100 - American Government,"08-LEC
Regular",Hum 123 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
16070,POSC 100 - American Government,"09-LEC
Regular",GH 248 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16344,POSC 100 - American Government,"10-LEC
Regular",GH 252 - Lecture Room,In Person,Sa 2:30PM - 3:45PM
15678,POSC 100 - American Government,"11-LEC
Regular",Hum 110 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
15766,POSC 100 - American Government,"12-LEC
Regular",GH 248 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
16856,POSC 100 - American Government,"13-LEC
Regular",MH 121 - Lecture Room,In Person,MoWe 5:30PM - 6:45PM
16302,POSC 100 - American Government,"14-LEC
Regular",GH 248 - Lecture Room,In Person,TuTh 5:30PM - 6:45PM
15817,POSC 100 - American Government,"15-LEC
Regular",GH 248 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
16073,POSC 100 - American Government,"16-LEC
Regular",GH 248 - Lecture Room,In Person,We 7:00PM - 9:45PM
15488,POSC 100 - American Government,"50-LEC
Regular","SGMH 1502 - Lecture
Online",Mostly In-Person (Hybrid),"MoWe 9:00AM - 9:50AM
TBA"
15767,POSC 100 - American Government,"51-LEC
Regular","SGMH 1502 - Lecture
Online",Mostly In-Person (Hybrid),"MoWe 10:00AM - 10:50AM
TBA"
15720,POSC 100 - American Government,"52-LEC
Regular","RGC 013 - Auditorium
Online",Mostly In-Person (Hybrid),"MoWe 12:00PM - 12:50PM
TBA"
16294,POSC 100 - American Government,"53-LEC
Regular","KHS 199 - Lecture Room
Online",Mostly Online w/ In-Person Mtg,"Mo 4:00PM - 5:15PM
TBA"
16345,POSC 100 - American Government,"54-LEC
Regular","LH 404 - Lecture Room
Online",Mostly Online w/ In-Person Mtg,"We 4:00PM - 5:15PM
TBA"
16349,POSC 100 - American Government,"55-LEC
Regular",Online,Fully Online,TBA
16350,POSC 100 - American Government,"56-LEC
Regular",Online,Fully Online,TBA
16853,POSC 100 - American Government,"57-LEC
Regular",Online,Fully Online,TBA
16854,POSC 100 - American Government,"58-LEC
Regular",Online,Fully Online,TBA
16982,POSC 100 - American Government,"59-LEC
Regular",Online,Fully Online,TBA
16996,POSC 100 - American Government,"60-LEC
Regular",Online,Fully Online,TBA
