Class ID,Class Name,Section,Room,Instruction Type,Time
15974,POSC 100 - American Government,"01-LEC
Regular",SGMH 1502 - Lecture,In Person,MoWeFr 9:00AM - 9:50AM
15975,POSC 100 - American Government,"02-LEC
Regular",SGMH 1502 - Lecture,In Person,MoWeFr 10:00AM - 10:50AM
17483,POSC 100 - American Government,"09-LEC
Regular",GH 248 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
16532,POSC 100 - American Government,"22-LEC
Regular",KHS 199 - Lecture Room,In Person,We 4:00PM - 6:45PM
16896,POSC 100 - American Government,"23-LEC
Regular",GH 339 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
21728,POSC 100 - American Government,"27-LEC
Regular",GH 248 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
21204,POSC 300 - California Government and Politics,"02-LEC
Regular",GH 248 - Lecture Room,In Person,MoWe 5:30PM - 6:45PM
17522,POSC 310 - Political Behavior,"01-LEC
Regular",Hum 414 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
21205,POSC 315 - Introduction to Public Policy,"01-LEC
Regular",LH 401A - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
16703,POSC 320 - Introduction to Public Administration,"01-LEC
Regular",LH 401 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
16742,POSC 320 - Introduction to Public Administration,"02-LEC
Regular",Hum 414 - Lecture Room,In Person,We 7:00PM - 9:45PM
15976,POSC 320 - Introduction to Public Administration,"50-LEC
Regular",Online,Fully Online,TBA
16382,POSC 321 - Research in Public Management,"01-SEM
Regular",LH 401 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
17763,POSC 321 - Research in Public Management,"02-SEM
Regular",GH 305 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
16925,POSC 322 - Leadership for Public Service,"01-DIS
Regular",GH 246 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
17523,POSC 330 - Politics in Nation-States,"01-LEC
Regular",Hum 322 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
16884,POSC 404 - Capital Punishment,"01-DIS
Regular",LH 401A - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
21701,POSC 404 - Capital Punishment,"03-DIS
Regular",GH 339 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
16743,POSC 421 - Government and the Economy,"01-DIS
Regular",MH 617 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
21206,POSC 421 - Government and the Economy,"02-DIS
Regular",Hum 414 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
17784,POSC 422 - Human Resources Management,"01-DIS
Regular",GH 305 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
17900,POSC 422 - Human Resources Management,"02-DIS
Regular",Hum 224 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
21565,POSC 425 - Policy Analysis,"02-LEC
Regular",Hum 224 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
21766,POSC 428 - Environmental Politics and Policy,"50-SEM
Regular","EC 109 - Lecture Room
Online",Mostly In-Person (Hybrid),"Tu 10:00AM - 11:15AM
TBA"
21019,POSC 433 - Society and National Politics of China,"01-LEC
Regular",Hum 426 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
20360,POSC 448 - Media and Politics,"01-DIS
Regular",Hum 224 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
16699,POSC 456 - National Security,"01-DIS
Regular",SGMH 2405 - Lecture,In Person,TuTh 2:30PM - 3:45PM
17526,POSC 473 - Constitutional Law,"01-SEM
Regular",GH 305 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
16919,POSC 474 - Civil Liberties,"01-DIS
Regular",MH 406 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
20346,POSC 474 - Civil Liberties,"02-DIS
Regular",GH 248 - Lecture Room,In Person,Th 7:00PM - 9:45PM
20355,POSC 487 - Gender and American Law,"01-LEC
Regular",LH 401 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16876,POSC 492 - Prelaw Internship,"01-SUP
Regular",GH 305 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
16372,POSC 498 - Internship in Politics,"01-SUP
Regular",GH 305 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
16654,POSC 509 - Foundations of Public Administration,"01-SEM
Regular",GH 304 - Lecture Room,In Person,Th 7:00PM - 9:45PM
21594,POSC 521 - Capstone Seminar: Public Administration Theory,"02-SEM
Regular",GH 208 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
20354,POSC 523 - Administrative Research and Analysis,"01-SEM
Regular",GH 304 - Lecture Room,In Person,We 7:00PM - 9:45PM
17777,POSC 525 - Local Government Management,"50-SEM
Regular",Online,Fully Online,Th 7:00PM - 9:45PM
20036,POSC 540 - Seminar Readings in Political Philosophy,"01-SEM
Regular",GH 335 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
20367,POSC 555 - World Order,"01-SEM
Regular",GH 339 - Lecture Room,In Person,Th 7:00PM - 9:45PM
17328,POSC 571 - Public Budgeting and Finance,"50-SEM
Regular",Online,Fully Online,Tu 7:00PM - 9:45PM
16584,POSC 572 - Human Resource Management for Public Organizations,"01-SEM
Regular",GH 319 - Seminar,In Person,Mo 7:00PM - 9:45PM
