Class ID,Class Name,Section,Room,Instruction Type,Time
16020,PSYC 101 - Introductory Psychology,"01-LEC
Regular",LH 321 - Lecture Room,In Person,MoWeFr 9:00AM - 9:50AM
15086,PSYC 101 - Introductory Psychology,"02-LEC
Regular","LH 321 - Lecture Room
Online",Mostly In-Person (Hybrid),"MoWe 11:00AM - 11:50AM
TBA"
15435,PSYC 101 - Introductory Psychology,"03-LEC
Regular","Hum 110 - Lecture Room
Online",Mostly In-Person (Hybrid),"MoWe 12:00PM - 12:50PM
TBA"
15087,PSYC 101 - Introductory Psychology,"04-LEC
Regular",Hum 110 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
15374,PSYC 101 - Introductory Psychology,"05-LEC
Regular",LH 321 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
15324,PSYC 101 - Introductory Psychology,"06-LEC
Regular",Hum 523 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
16347,PSYC 101 - Introductory Psychology,"07-LEC
Regular",GH 335 - Lecture Room,In Person,Th 4:00PM - 6:45PM
15085,PSYC 101 - Introductory Psychology,"50-LEC
Regular",Online,Fully Online,TBA
15541,PSYC 101 - Introductory Psychology,"51-LEC
Regular",Online,Fully Online,TBA
15390,PSYC 101 - Introductory Psychology,"52-LEC
Regular",Online,Fully Online,TBA
15365,PSYC 101 - Introductory Psychology,"53-LEC
Regular",Online,Fully Online,TBA
20755,PSYC 101 - Introductory Psychology,"54-LEC
Regular",Online,Fully Online,TBA
15451,PSYC 110 - Critical Thinking in Psychology,"02-DIS
Regular",Hum 228 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
15088,PSYC 110 - Critical Thinking in Psychology,"03-DIS
Regular",Hum 123 - Lecture Room,In Person,TuTh 7:00AM - 8:15AM
15898,PSYC 110 - Critical Thinking in Psychology,"04-DIS
Regular",Hum 522 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
15089,PSYC 110 - Critical Thinking in Psychology,"05-DIS
Regular",Hum 522 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
15452,PSYC 110 - Critical Thinking in Psychology,"50-DIS
Regular",Online,Fully Online,TBA
15325,PSYC 110 - Critical Thinking in Psychology,"51-DIS
Regular",Online,Fully Online,TBA
16096,PSYC 110 - Critical Thinking in Psychology,"52-DIS
Regular",Online,Fully Online,TBA
16097,PSYC 110 - Critical Thinking in Psychology,"53-DIS
Regular",Online,Fully Online,TBA
17008,PSYC 110 - Critical Thinking in Psychology,"54-DIS
Regular",Online,Fully Online,TBA
20107,PSYC 133 - Introduction to Aging Studies,"01-LEC
Regular",KHS 164 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
15561,PSYC 201 - Introduction to Statistics in Psychology,"01-DIS
Regular",Hum 523 - Lecture Room,In Person,MoWe 1:00PM - 1:50PM
15560,PSYC 201 - Introduction to Statistics in Psychology,"02-LAB
Regular",Hum 604 - Computer Lab,In Person,Mo 2:00PM - 3:30PM
15695,PSYC 201 - Introduction to Statistics in Psychology,"03-DIS
Regular",Hum 523 - Lecture Room,In Person,MoWe 1:00PM - 1:50PM
15559,PSYC 201 - Introduction to Statistics in Psychology,"04-LAB
Regular",Hum 604 - Computer Lab,In Person,We 2:00PM - 3:30PM
16027,PSYC 201 - Introduction to Statistics in Psychology,"05-DIS
Regular",Hum 523 - Lecture Room,In Person,MoWe 4:00PM - 4:50PM
16028,PSYC 201 - Introduction to Statistics in Psychology,"06-LAB
Regular",Hum 604 - Computer Lab,In Person,Mo 5:00PM - 6:30PM
16029,PSYC 201 - Introduction to Statistics in Psychology,"07-DIS
Regular",Hum 523 - Lecture Room,In Person,MoWe 4:00PM - 4:50PM
16030,PSYC 201 - Introduction to Statistics in Psychology,"08-LAB
Regular",Hum 604 - Computer Lab,In Person,We 5:00PM - 6:30PM
16031,PSYC 201 - Introduction to Statistics in Psychology,"09-DIS
Regular",Hum 523 - Lecture Room,In Person,TuTh 10:00AM - 10:50AM
16032,PSYC 201 - Introduction to Statistics in Psychology,"10-LAB
Regular",Hum 604 - Computer Lab,In Person,Tu 11:00AM - 12:30PM
16033,PSYC 201 - Introduction to Statistics in Psychology,"11-DIS
Regular",Hum 523 - Lecture Room,In Person,TuTh 10:00AM - 10:50AM
16034,PSYC 201 - Introduction to Statistics in Psychology,"12-LAB
Regular",Hum 604 - Computer Lab,In Person,Th 11:00AM - 12:30PM
15319,PSYC 201 - Introduction to Statistics in Psychology,"13-DIS
Regular",Hum 228 - Lecture Room,In Person,TuTh 4:00PM - 4:50PM
15320,PSYC 201 - Introduction to Statistics in Psychology,"14-LAB
Regular",Hum 604 - Computer Lab,In Person,Tu 5:00PM - 6:30PM
15321,PSYC 201 - Introduction to Statistics in Psychology,"15-DIS
Regular",Hum 228 - Lecture Room,In Person,TuTh 4:00PM - 4:50PM
15322,PSYC 201 - Introduction to Statistics in Psychology,"16-LAB
Regular",Hum 604 - Computer Lab,In Person,Th 5:00PM - 6:30PM
19892,PSYC 201 - Introduction to Statistics in Psychology,"17-DIS
Regular",Hum 523 - Lecture Room,In Person,TuTh 5:30PM - 6:20PM
19893,PSYC 201 - Introduction to Statistics in Psychology,"18-LAB
Regular",Hum 604 - Computer Lab,In Person,Tu 6:30PM - 8:00PM
19894,PSYC 201 - Introduction to Statistics in Psychology,"19-DIS
Regular",Hum 523 - Lecture Room,In Person,TuTh 5:30PM - 6:20PM
19895,PSYC 201 - Introduction to Statistics in Psychology,"20-LAB
Regular",Hum 604 - Computer Lab,In Person,Th 6:30PM - 8:00PM
19903,PSYC 201 - Introduction to Statistics in Psychology,"21-DIS
Regular",Hum 523 - Lecture Room,In Person,MoWe 5:30PM - 6:20PM
19904,PSYC 201 - Introduction to Statistics in Psychology,"22-LAB
Regular",Hum 604 - Computer Lab,In Person,Mo 6:30PM - 8:00PM
19905,PSYC 201 - Introduction to Statistics in Psychology,"23-DIS
Regular",Hum 523 - Lecture Room,In Person,MoWe 5:30PM - 6:20PM
19906,PSYC 201 - Introduction to Statistics in Psychology,"24-LAB
Regular",Hum 604 - Computer Lab,In Person,We 6:30PM - 8:00PM
15907,PSYC 201 - Introduction to Statistics in Psychology,"54-DIS
Regular",Online,Fully Online,TBA
15906,PSYC 201 - Introduction to Statistics in Psychology,"55-LAB
Regular",Online,Fully Online,TBA
15905,PSYC 201 - Introduction to Statistics in Psychology,"56-DIS
Regular",Online,Fully Online,TBA
15904,PSYC 201 - Introduction to Statistics in Psychology,"57-LAB
Regular",Online,Fully Online,TBA
15090,PSYC 202 - Research Methods in Psychology,"01-DIS
Regular",Hum 523 - Lecture Room,In Person,MoWe 9:00AM - 9:50AM
15248,PSYC 202 - Research Methods in Psychology,"02-LAB
Regular",Hum 604 - Computer Lab,In Person,Mo 10:00AM - 11:30AM
15091,PSYC 202 - Research Methods in Psychology,"03-DIS
Regular",Hum 523 - Lecture Room,In Person,MoWe 9:00AM - 9:50AM
15249,PSYC 202 - Research Methods in Psychology,"04-LAB
Regular",Hum 604 - Computer Lab,In Person,We 10:00AM - 11:30AM
15464,PSYC 202 - Research Methods in Psychology,"05-DIS
Regular",Hum 228 - Lecture Room,In Person,MoWe 10:30AM - 11:20AM
15465,PSYC 202 - Research Methods in Psychology,"06-LAB
Regular",Hum 604 - Computer Lab,In Person,Mo 11:30AM - 1:00PM
15466,PSYC 202 - Research Methods in Psychology,"07-DIS
Regular",Hum 228 - Lecture Room,In Person,MoWe 10:30AM - 11:20AM
15467,PSYC 202 - Research Methods in Psychology,"08-LAB
Regular",Hum 604 - Computer Lab,In Person,We 11:30AM - 1:00PM
16035,PSYC 202 - Research Methods in Psychology,"09-DIS
Regular",Hum 523 - Lecture Room,In Person,MoWe 2:30PM - 3:20PM
16036,PSYC 202 - Research Methods in Psychology,"10-LAB
Regular",Hum 604 - Computer Lab,In Person,Mo 3:30PM - 5:00PM
16037,PSYC 202 - Research Methods in Psychology,"11-DIS
Regular",Hum 523 - Lecture Room,In Person,MoWe 2:30PM - 3:20PM
16038,PSYC 202 - Research Methods in Psychology,"12-LAB
Regular",Hum 604 - Computer Lab,In Person,We 3:30PM - 5:00PM
16039,PSYC 202 - Research Methods in Psychology,"13-DIS
Regular",Hum 523 - Lecture Room,In Person,TuTh 8:30AM - 9:20AM
16041,PSYC 202 - Research Methods in Psychology,"14-LAB
Regular",Hum 604 - Computer Lab,In Person,Tu 9:30AM - 11:00AM
16042,PSYC 202 - Research Methods in Psychology,"15-DIS
Regular",Hum 523 - Lecture Room,In Person,TuTh 8:30AM - 9:20AM
16043,PSYC 202 - Research Methods in Psychology,"16-LAB
Regular",Hum 604 - Computer Lab,In Person,Th 9:30AM - 11:00AM
15297,PSYC 202 - Research Methods in Psychology,"17-DIS
Regular",Hum 523 - Lecture Room,In Person,TuTh 11:30AM - 12:20PM
15298,PSYC 202 - Research Methods in Psychology,"18-LAB
Regular",Hum 604 - Computer Lab,In Person,Tu 12:30PM - 2:00PM
15299,PSYC 202 - Research Methods in Psychology,"19-DIS
Regular",Hum 523 - Lecture Room,In Person,TuTh 11:30AM - 12:20PM
15300,PSYC 202 - Research Methods in Psychology,"20-LAB
Regular",Hum 604 - Computer Lab,In Person,Th 12:30PM - 2:00PM
15315,PSYC 202 - Research Methods in Psychology,"21-DIS
Regular",Hum 523 - Lecture Room,In Person,TuTh 1:00PM - 1:50PM
15316,PSYC 202 - Research Methods in Psychology,"22-LAB
Regular",Hum 604 - Computer Lab,In Person,Tu 2:00PM - 3:30PM
15317,PSYC 202 - Research Methods in Psychology,"23-DIS
Regular",Hum 523 - Lecture Room,In Person,TuTh 1:00PM - 1:50PM
