Class ID,Class Name,Section,Room,Instruction Type,Time
19626,READ 131 - Explore Core: Migrant Lives,"01-LEC
Regular","MH 617 - Lecture Room
Zoom",Mostly In-Person (Hybrid),"MoWe 11:30AM - 12:45PM
Mo 11:30AM - 12:45PM"
13434,READ 201 - New Literacies for Academic Success,"01-LEC
Regular",LH 320A - Computer Lab,In Person,TuTh 11:30AM - 12:45PM
13578,"READ 290A - Critical Reading, Thinking and Literacy","01-DIS
Regular",LH 306 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
13295,"READ 290A - Critical Reading, Thinking and Literacy","03-DIS
Regular",EC 024 - Teaching Lab,In Person,TuTh 11:30AM - 12:45PM
13425,"READ 290A - Critical Reading, Thinking and Literacy","04-DIS
Regular",EC 024 - Teaching Lab,In Person,MoWe 10:00AM - 11:15AM
13458,"READ 290A - Critical Reading, Thinking and Literacy","05-DIS
Regular",EC 024 - Teaching Lab,In Person,MoWe 8:30AM - 9:45AM
13296,"READ 290A - Critical Reading, Thinking and Literacy","06-DIS
Regular",EC 024 - Teaching Lab,In Person,TuTh 1:00PM - 2:15PM
13297,"READ 290A - Critical Reading, Thinking and Literacy","07-DIS
Regular",LH 320A - Computer Lab,In Person,MoWe 11:30AM - 12:45PM
13629,"READ 290A - Critical Reading, Thinking and Literacy","08-DIS
Regular",LH 320A - Computer Lab,In Person,MoWe 1:00PM - 2:15PM
13445,"READ 290A - Critical Reading, Thinking and Literacy","09-DIS
Regular",LH 320A - Computer Lab,In Person,TuTh 1:00PM - 2:15PM
13459,"READ 290A - Critical Reading, Thinking and Literacy","10-DIS
Regular",EC 024 - Teaching Lab,In Person,TuTh 8:30AM - 9:45AM
13426,"READ 290A - Critical Reading, Thinking and Literacy","11-DIS
Regular",EC 024 - Teaching Lab,In Person,TuTh 10:00AM - 11:15AM
13677,"READ 290A - Critical Reading, Thinking and Literacy","12-DIS
Regular",LH 320A - Computer Lab,In Person,MoWe 10:00AM - 11:15AM
19719,"READ 290A - Critical Reading, Thinking and Literacy","13-DIS
Regular",LH 306 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
13315,"READ 290A - Critical Reading, Thinking and Literacy","50-DIS
Regular",Online,Fully Online,TBA
13316,"READ 290A - Critical Reading, Thinking and Literacy","51-DIS
Regular",Online,Fully Online,TBA
