Class ID,Class Name,Section,Room,Instruction Type,Time
17422,RLST 105 - Religion and the Quest for Meaning,"01-LEC
Regular",Hum 128 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16745,RLST 110 - Religions of the World,"01-LEC
Regular",Hum 128 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
20311,RLST 110 - Religions of the World,"02-LEC
Regular",Hum 128 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
20312,RLST 110 - Religions of the World,"51-LEC
Regular",Online,Fully Online,TBA
17219,RLST 201 - Introduction to the New Testament,"50-LEC
Regular",Online,Fully Online,TBA
21512,RLST 210 - Introduction to Judaism,"50-LEC
Regular",Online,Fully Online,TBA
16748,RLST 246A - Basic Hatha Yoga,"03-DIS
Regular",KHS 202 - PE/Indoor,In Person,TuTh 8:30AM - 9:00AM
16754,RLST 246A - Basic Hatha Yoga,"04-ACT
Regular",KHS 202 - PE/Indoor,In Person,TuTh 9:00AM - 9:45AM
16750,RLST 246A - Basic Hatha Yoga,"11-DIS
Regular",KHS 202 - PE/Indoor,In Person,MoWe 10:00AM - 10:30AM
16756,RLST 246A - Basic Hatha Yoga,"12-ACT
Regular",KHS 202 - PE/Indoor,In Person,MoWe 10:30AM - 11:15AM
16752,RLST 246A - Basic Hatha Yoga,"15-DIS
Regular",KHS 202 - PE/Indoor,In Person,MoWe 1:00PM - 1:30PM
16758,RLST 246A - Basic Hatha Yoga,"16-ACT
Regular",KHS 202 - PE/Indoor,In Person,MoWe 1:30PM - 2:15PM
17977,RLST 246A - Basic Hatha Yoga,"17-DIS
Regular",KHS 202 - PE/Indoor,In Person,TuTh 11:30AM - 12:00PM
17978,RLST 246A - Basic Hatha Yoga,"18-ACT
Regular",KHS 202 - PE/Indoor,In Person,TuTh 12:00PM - 12:45PM
20320,RLST 306 - Contemporary Practices of the World's Religions,"01-LEC
Regular",LH 403A - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
16759,RLST 312 - The Bible as Literature,"01-DIS
Regular",GH 339 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
20314,RLST 333 - Religion and Sexuality,"01-DIS
Regular",LH 403A - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
16766,RLST 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
16767,RLST 499 - Independent Study,"02-SUP
Regular",TBA,In Person,TBA
16768,RLST 499 - Independent Study,"03-SUP
Regular",TBA,In Person,TBA
16769,RLST 499 - Independent Study,"04-SUP
Regular",TBA,In Person,TBA
