Class ID,Class Name,Section,Room,Instruction Type,Time
13623,EDSC 110 - The Teaching Experience: Exploration,"01-SEM
Regular",EC 049 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
13284,EDSC 304 - Educational Technologies for Secondary Teachers,"50-DIS
Regular",Online,Fully Online,TBA
13308,EDSC 304 - Educational Technologies for Secondary Teachers,"51-ACT
Regular",Online,Fully Online,TBA
13396,EDSC 304 - Educational Technologies for Secondary Teachers,"52-DIS
Regular",Online,Fully Online,TBA
13397,EDSC 304 - Educational Technologies for Secondary Teachers,"53-ACT
Regular",Online,Fully Online,TBA
20862,EDSC 304 - Educational Technologies for Secondary Teachers,"54-DIS
Regular",Online,Fully Online,TBA
20863,EDSC 304 - Educational Technologies for Secondary Teachers,"55-ACT
Regular",Online,Fully Online,TBA
13285,EDSC 310 - The Teaching Experience: Participation,"01-SEM
Regular",CP 120 - Lecture Room,In Person,We 10:00AM - 11:50AM
13309,EDSC 310 - The Teaching Experience: Participation,"02-ACT
Regular",CP 120 - Lecture Room,In Person,We 12:00PM - 12:45PM
20103,EDSC 310 - The Teaching Experience: Participation,"03-SEM
Regular",CP 120 - Lecture Room,In Person,Mo 1:00PM - 2:50PM
20104,EDSC 310 - The Teaching Experience: Participation,"04-ACT
Regular",CP 120 - Lecture Room,In Person,Mo 3:00PM - 3:45PM
13311,EDSC 310 - The Teaching Experience: Participation,"50-SEM
Regular",Online,Fully Online,TBA
13312,EDSC 310 - The Teaching Experience: Participation,"51-ACT
Regular",Online,Fully Online,TBA
13313,EDSC 310 - The Teaching Experience: Participation,"52-SEM
Regular",Online,Fully Online,TBA
13314,EDSC 310 - The Teaching Experience: Participation,"53-ACT
Regular",Online,Fully Online,TBA
13377,EDSC 310 - The Teaching Experience: Participation,"54-SEM
Regular",Online,Fully Online,TBA
13378,EDSC 310 - The Teaching Experience: Participation,"55-ACT
Regular",Online,Fully Online,TBA
13286,EDSC 310 - The Teaching Experience: Participation,"56-SEM
Regular",Online,Fully Online,TBA
13310,EDSC 310 - The Teaching Experience: Participation,"57-ACT
Regular",Online,Fully Online,TBA
13617,EDSC 320 - Adolescent Development,"01-LEC
Regular",CP 120 - Lecture Room,In Person,We 1:00PM - 3:45PM
13406,EDSC 320 - Adolescent Development,"02-LEC
Regular",CP 125 - Lecture Room,In Person,We 4:00PM - 6:45PM
13626,EDSC 320 - Adolescent Development,"03-LEC
Regular",CP 120 - Lecture Room,In Person,Th 10:00AM - 12:45PM
13287,EDSC 320 - Adolescent Development,"50-LEC
Regular",Online,Fully Online,TBA
13288,EDSC 320 - Adolescent Development,"51-LEC
Regular",Online,Fully Online,TBA
13289,EDSC 320 - Adolescent Development,"52-LEC
Regular",Online,Fully Online,TBA
13325,EDSC 320 - Adolescent Development,"53-LEC
Regular",Online,Fully Online,TBA
20866,EDSC 320 - Adolescent Development,"54-LEC
Regular",Online,Fully Online,TBA
13627,EDSC 330 - Developing Literacy in Secondary Schools,"01-SEM
Regular",CP 120 - Lecture Room,Mostly In-Person (Hybrid),Tu 10:00AM - 12:45PM
20108,EDSC 330 - Developing Literacy in Secondary Schools,"02-SEM
Regular",CP 120 - Lecture Room,In Person,Tu 1:00PM - 3:45PM
13326,EDSC 330 - Developing Literacy in Secondary Schools,"50-SEM
Regular",Online,Fully Online,TBA
13385,EDSC 330 - Developing Literacy in Secondary Schools,"51-SEM
Regular",Online,Fully Online,TBA
13631,EDSC 330 - Developing Literacy in Secondary Schools,"52-SEM
Regular",Online,Fully Online,TBA
20273,EDSC 340 - Diversity in Secondary Schools,"02-LEC
Regular",CP 120 - Lecture Room,In Person,Th 4:00PM - 6:45PM
13628,EDSC 340 - Diversity in Secondary Schools,"03-LEC
Regular",CP 120 - Lecture Room,In Person,Mo 10:00AM - 12:45PM
13319,EDSC 340 - Diversity in Secondary Schools,"50-LEC
Regular",Online,Fully Online,TBA
13417,EDSC 340 - Diversity in Secondary Schools,"51-LEC
Regular",Online,Fully Online,TBA
13403,EDSC 340 - Diversity in Secondary Schools,"52-LEC
Regular",Online,Fully Online,TBA
13678,EDSC 340 - Diversity in Secondary Schools,"53-LEC
Regular",Online,Fully Online,TBA
21311,EDSC 410 - Teaching and Learning from Language Learners in Secondary Schools,"53-SEM
Regular","Zoom
Online
SGMH 1506 - Lecture",Mostly Online w/ In-Person Mtg,"Sa 2:00PM - 4:00PM
TBA
Sa 9:00AM - 1:00PM"
21315,EDSC 410 - Teaching and Learning from Language Learners in Secondary Schools,"54-SEM
Regular","Zoom
Online
SGMH 1506 - Lecture",Mostly Online w/ In-Person Mtg,"Sa 2:00PM - 4:00PM
TBA
Sa 9:00AM - 1:00PM"
21317,EDSC 410 - Teaching and Learning from Language Learners in Secondary Schools,"55-SEM
Regular","Zoom
Online
SGMH 1506 - Lecture",Mostly Online w/ In-Person Mtg,"Sa 2:00PM - 4:00PM
TBA
Sa 9:00AM - 1:00PM"
20681,EDSC 440F - Supervised Fieldwork in Secondary Schools,"01-SUP
Regular",SGMH 1502 - Lecture,In Person,Fr 2:00PM - 3:45PM
20682,EDSC 440F - Supervised Fieldwork in Secondary Schools,"02-SUP
Regular",SGMH 1307 - Lecture,In Person,Fr 2:00PM - 3:45PM
20683,EDSC 440F - Supervised Fieldwork in Secondary Schools,"03-SUP
Regular",SGMH 1109 - Lecture,In Person,Fr 2:00PM - 3:45PM
20679,EDSC 440F - Supervised Fieldwork in Secondary Schools,"04-SUP
Regular",SGMH 1108 - Lecture,In Person,Fr 2:00PM - 3:45PM
20680,EDSC 440F - Supervised Fieldwork in Secondary Schools,"05-SUP
Regular",SGMH 1113 - Lecture,In Person,Fr 2:00PM - 3:45PM
13369,EDSC 440S - General Pedagogy in Secondary Schools,"01-SEM
Regular",CP 120 - Lecture Room,In Person,Fr 9:00AM - 12:45PM
13370,EDSC 440S - General Pedagogy in Secondary Schools,"02-SEM
Regular",CP 125 - Lecture Room,In Person,Fr 9:00AM - 12:45PM
13376,EDSC 440S - General Pedagogy in Secondary Schools,"03-SEM
Regular",SGMH 1109 - Lecture,In Person,Fr 9:00AM - 12:45PM
13379,EDSC 440S - General Pedagogy in Secondary Schools,"04-SEM
Regular",SGMH 1112 - Lecture,In Person,Fr 9:00AM - 12:45PM
13398,EDSC 440S - General Pedagogy in Secondary Schools,"05-SEM
Regular",SGMH 1117 - Lecture,In Person,Fr 9:00AM - 12:45PM
13344,EDSC 442C - Teaching Science in the Secondary Schools,"01-DIS
Regular",DBH 261 - Chem Teaching Lab,In Person,Mo 5:30PM - 8:15PM
13335,EDSC 442F - Teaching World Languages in the Public Schools,"01-DIS
Regular",LH 315B - Lecture Room,In Person,We 4:30PM - 7:15PM
21359,EDSC 442M - Teaching Foundational-Level Mathematics in Secondary Schools,"02-DIS
Regular","GH 304 - Lecture Room
Online",Mostly In-Person (Hybrid),"Th 4:30PM - 7:15PM
TBA"
13375,EDSC 442S - Teaching Social Science in Secondary Schools,"01-DIS
Regular","CP 120 - Lecture Room
Online",Mostly In-Person (Hybrid),"Mo 4:30PM - 7:15PM
TBA"
13428,EDSC 446 - Methods and Inquiry for Bilingual Teachers,"01-LEC
Regular",SGMH 1307 - Lecture,In Person,Fr 4:00PM - 6:45PM
13481,EDSC 449E - Externship in Single Subject Teaching,"01-SUP
Regular",TBA,In Person,TBA
13485,EDSC 449E - Externship in Single Subject Teaching,"10-SUP
Regular",TBA,In Person,TBA
13489,EDSC 449E - Externship in Single Subject Teaching,"20-SUP
Regular",TBA,In Person,TBA
13491,EDSC 449E - Externship in Single Subject Teaching,"30-SUP
Regular",TBA,In Person,TBA
13494,EDSC 449E - Externship in Single Subject Teaching,"40-SUP
Regular",TBA,In Person,TBA
13496,EDSC 449I - Second Semester Student Teaching,"01-SUP
Regular",TBA,In Person,TBA
21300,EDSC 449I - Second Semester Student Teaching,"10-SUP
Regular",See Class Note Mtg Location,In Person,TBA
13571,EDSC 449I - Second Semester Student Teaching,"20-SUP
Regular",TBA,In Person,TBA
13294,EDSC 449S - Seminar in Secondary Teaching,"01-SEM
Regular","CP 120 - Lecture Room
Online",Mostly In-Person (Hybrid),"Tu 4:30PM - 7:15PM
TBA"
20109,EDSC 449S - Seminar in Secondary Teaching,"02-SEM
Regular",DBH 261 - Chem Teaching Lab,In Person,We 5:30PM - 8:15PM
13321,EDSC 460 - Teaching Performance Assessment Seminar,"01-DIS
Regular",MH 121 - Lecture Room,In Person,Th 5:30PM - 8:15PM
21357,EDSC 460A - Teaching Performance Assessment Seminar A,"02-LEC
Regular","TBA
TBA
TBA
TBA
TBA
TBA
TBA
TBA",In Person,"Fr 2:00PM - 3:45PM
Fr 2:00PM - 3:45PM
Fr 2:00PM - 3:45PM
Fr 2:00PM - 3:45PM
Fr 2:00PM - 3:45PM
Fr 2:00PM - 3:45PM
Fr 2:00PM - 3:45PM
Fr 2:00PM - 3:45PM"
21364,EDSC 506 - Graduate Studies in Secondary School Writing,"50-SEM
Regular",Online,Fully Online,TBA
13339,EDSC 536 - Curriculum Theory and Development,"50-SEM
Regular",Online,Fully Online,TBA
13451,EDSC 539 - Conceptual Foundations of Culturally and Linguistically Sustaining Teaching,"50-SEM
Regular",Online,Fully Online,TBA
13622,EDSC 591 - Professional Seminar in Secondary Teaching,"50-SEM
Regular",Online,Fully Online,TBA
