Class ID,Class Name,Section,Room,Instruction Type,Time
16343,SOCI 101 - Introduction to Sociology,"01-LEC
Regular","LH 404 - Lecture Room
Online",Mostly In-Person (Hybrid),"MoWeFr 10:00AM - 10:50AM
TBA"
16344,SOCI 101 - Introduction to Sociology,"03-LEC
Regular",CP 120 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
17468,SOCI 101 - Introduction to Sociology,"04-LEC
Regular","GH 246 - Lecture Room
Online",Mostly In-Person (Hybrid),"MoWe 11:30AM - 12:45PM
TBA"
16346,SOCI 101 - Introduction to Sociology,"06-LEC
Regular",LH 321 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16913,SOCI 201 - Social Media and Social Interaction,"45-LEC
Regular","Hum 514 - Lecture Room
Online",Mostly In-Person (Hybrid),"MoWe 11:30AM - 12:45PM
TBA"
17880,SOCI 300 - Social Work,"03-LEC
Regular","LH 320 - Lecture Room
Online",Mostly In-Person (Hybrid),"MoWeFr 10:00AM - 10:50AM
TBA"
16840,SOCI 300 - Social Work,"50-LEC
Regular",Online,Fully Online,TBA
16568,SOCI 302 - Social Research Methods,"02-DIS
Regular","Hum 514 - Lecture Room
Online",Mostly In-Person (Hybrid),"TuTh 1:00PM - 2:15PM
TBA"
17410,SOCI 302 - Social Research Methods,"05-DIS
Regular","CP 125 - Lecture Room
Online",Mostly In-Person (Hybrid),"MoWe 1:00PM - 2:15PM
TBA"
16103,SOCI 302 - Social Research Methods,"45-DIS
Regular","Hum 512 - Self-Instruction Lab
Online",Mostly In-Person (Hybrid),"MoWe 11:30AM - 12:45PM
TBA"
20363,SOCI 302 - Social Research Methods,"53-DIS
Regular",Online,Fully Online,TBA
16105,SOCI 303 - Statistics for the Social Sciences,"02-DIS
Regular",Hum 512 - Self-Instruction Lab,In Person,MoWe 10:00AM - 11:15AM
16733,SOCI 303 - Statistics for the Social Sciences,"05-DIS
Regular",Hum 512 - Self-Instruction Lab,In Person,MoWe 2:30PM - 3:45PM
16877,SOCI 303 - Statistics for the Social Sciences,"06-DIS
Regular",Hum 512 - Self-Instruction Lab,In Person,TuTh 8:30AM - 9:45AM
16929,SOCI 303 - Statistics for the Social Sciences,"08-DIS
Regular","Hum 326A - Computer Lab
Online",Mostly In-Person (Hybrid),"TuTh 1:00PM - 2:15PM
TBA"
17048,SOCI 303 - Statistics for the Social Sciences,"40-DIS
Regular",Hum 512 - Self-Instruction Lab,In Person,TuTh 10:00AM - 11:15AM
20349,SOCI 306 - Applying Sociology in the Community,"50-DIS
Regular",Online,Fully Online,TBA
16106,SOCI 308 - Writing for Sociology Students,"01-DIS
Regular",Hum 326A - Computer Lab,In Person,TuTh 10:00AM - 11:15AM
16351,SOCI 308 - Writing for Sociology Students,"04-DIS
Regular","Hum 326A - Computer Lab
Online",Mostly In-Person (Hybrid),"MoWe 11:30AM - 12:45PM
TBA"
20381,SOCI 308 - Writing for Sociology Students,"53-DIS
Regular",Online,Fully Online,TBA
16371,SOCI 341 - Social Interaction,"01-LEC
Regular",Hum 426 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
16910,SOCI 350 - Social Relationships and Emotions,"01-LEC
Regular",Hum 514 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
16674,SOCI 351 - Sociology of Families,"03-LEC
Regular",GH 246 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
17477,SOCI 352 - The Sociology of Education,"02-LEC
Regular",Hum 414 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
17828,SOCI 352 - The Sociology of Education,"50-LEC
Regular",Online,Fully Online,TBA
16570,SOCI 353 - Sociology of Children and Youth,"01-LEC
Regular",GH 246 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
20391,SOCI 356 - Social Inequality,"01-LEC
Regular",GH 246 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16108,SOCI 357 - Race and Ethnic Relations,"01-LEC
Regular",GH 246 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
17228,SOCI 357 - Race and Ethnic Relations,"51-LEC
Regular",Online,Fully Online,TBA
17013,SOCI 360 - Sociology of Death and Dying,"02-LEC
Regular",CP 125 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
17829,SOCI 361 - Population and the Environment,"01-LEC
Regular","Hum 426 - Lecture Room
Online",Mostly In-Person (Hybrid),"MoWe 11:30AM - 12:45PM
TBA"
17830,SOCI 380 - The Social Life of Food,"01-LEC
Regular",Hum 414 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
17273,SOCI 385 - Family Violence,"01-LEC
Regular",GH 246 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
17480,SOCI 410 - Theories of Social Behavior,"05-LEC
Regular",Hum 514 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
17957,SOCI 410 - Theories of Social Behavior,"45-LEC
Regular","Hum 414 - Lecture Room
Online",Mostly In-Person (Hybrid),"MoWe 1:00PM - 2:15PM
TBA"
21168,SOCI 413 - Juvenile Delinquency,"01-LEC
Regular",CP 120 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
20392,SOCI 415 - Mass Incarceration and Punishment,"01-LEC
Regular",CP 125 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
21253,SOCI 417 - Violence against Women and Girls: Global Realities,"01-LEC
Regular",MH 617 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
17834,SOCI 495 - Sociological Internship,"50-DIS
Regular",Online,Fully Online,TBA
16109,SOCI 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
16720,SOCI 499 - Independent Study,"07-SUP
Regular",TBA,In Person,TBA
16842,SOCI 499 - Independent Study,"08-SUP
Regular",TBA,In Person,TBA
16843,SOCI 499 - Independent Study,"09-SUP
Regular",TBA,In Person,TBA
21170,SOCI 501T - Seminar: Topics in Societal Structure and Process,"01-SEM
Regular",GH 246 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
17945,SOCI 502A - The Research Process,"02-SEM
Regular",Hum 415 - Lecture Room,In Person,Th 7:00PM - 9:45PM
17996,SOCI 597 - Project,"02-SUP
Regular",TBA,In Person,TBA
17997,SOCI 597 - Project,"03-SUP
Regular",TBA,In Person,TBA
17998,SOCI 597 - Project,"04-SUP
Regular",TBA,In Person,TBA
