Class ID,Class Name,Section,Room,Instruction Type,Time
15272,SPAN 101 - Fundamental Spanish-A,"01-DIS
Regular",MH 465 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
15439,SPAN 101 - Fundamental Spanish-A,"02-DIS
Regular",MH 465 - Lecture Room,In Person,TuTh 8:00AM - 9:15AM
15502,SPAN 101 - Fundamental Spanish-A,"03-DIS
Regular",Hum 325 - Language Lab,In Person,MoWe 10:00AM - 11:15AM
15507,SPAN 101 - Fundamental Spanish-A,"04-DIS
Regular",Hum 321B - Lecture Room,In Person,Fr 8:00AM - 10:45AM
15864,SPAN 101 - Fundamental Spanish-A,"50-DIS
Regular",Online,Fully Online,TBA
15144,SPAN 101 - Fundamental Spanish-A,"51-DIS
Regular",Zoom,Fully Online,MoWe 4:00PM - 5:15PM
15525,SPAN 102 - Fundamental Spanish-B,"01-DIS
Regular",Hum 325 - Language Lab,In Person,TuTh 1:00PM - 2:15PM
15526,SPAN 102 - Fundamental Spanish-B,"02-DIS
Regular",Hum 321A - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
15865,SPAN 102 - Fundamental Spanish-B,"50-DIS
Regular",Online,Fully Online,TBA
16333,SPAN 102 - Fundamental Spanish-B,"51-DIS
Regular",Zoom,Fully Online,TuTh 5:30PM - 6:45PM
15273,SPAN 202 - Spanish for Spanish Speakers,"01-DIS
Regular",Hum 321B - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
15145,SPAN 203 - Intermediate Spanish-A,"50-DIS
Regular",Zoom,Fully Online,TuTh 10:00AM - 11:15AM
15866,SPAN 204 - Intermediate Spanish-B,"50-DIS
Regular",Zoom,Fully Online,TuTh 10:00AM - 11:15AM
15867,SPAN 213 - Intermediate Conversation,"01-DIS
Regular",KHS 160 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
15596,SPAN 214 - Intermediate Composition,"01-DIS
Regular",GH 336 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
15353,SPAN 214 - Intermediate Composition,"50-DIS
Regular",Online,Fully Online,TBA
15146,SPAN 301 - Advanced Grammar and Composition,"01-DIS
Regular",Hum 321B - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
15617,SPAN 301 - Advanced Grammar and Composition,"50-DIS
Regular",Online,Fully Online,TBA
19712,SPAN 301 - Advanced Grammar and Composition,"51-DIS
Regular",Online,Fully Online,TBA
15772,SPAN 306 - Spanish for Health and Human Services - A,"50-LEC
Regular",Zoom,Fully Online,Fr 10:00AM - 12:45PM
15717,SPAN 315 - Introduction to Spanish Civilization,"50-DIS
Regular",Online,Fully Online,TBA
16182,SPAN 315 - Introduction to Spanish Civilization,"51-DIS
Regular",Online,Fully Online,TBA
19705,SPAN 316 - Introduction to Spanish-American Civilization,"01-DIS
Regular",GH 336 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
19706,SPAN 316 - Introduction to Spanish-American Civilization,"02-DIS
Regular",CPAC 146 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
15618,SPAN 325 - Contemporary Culture of Spain,"01-LEC
Regular",GH 239 - Seminar,In Person,TuTh 2:30PM - 3:45PM
16184,SPAN 375 - Introduction to Literary Forms,"01-DIS
Regular",Hum 321A - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16305,SPAN 400 - Advanced Writing in Cultural Studies,"01-DIS
Regular",GH 336 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
21134,SPAN 406 - Spanish American Cinema: Historical and Cultural Representations,"02-DIS
Regular",Hum 321B - Lecture Room,In Person,We 4:00PM - 6:45PM
16181,SPAN 440 - Spanish-American Literature to Modernismo,"01-DIS
Regular",GH 336 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
16249,SPAN 461 - Spanish Literature Since Neoclassicism,"01-DIS
Regular",Hum 321B - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
21135,SPAN 467 - Spanish Morphology and Syntax,"02-DIS
Regular",Hum 321B - Lecture Room,In Person,Mo 4:00PM - 6:45PM
15760,SPAN 468 - Spanish/English Bilingualism and Language Contact,"01-DIS
Regular",Hum 513 - Lecture Room,In Person,We 7:00PM - 9:45PM
15868,SPAN 470 - Foundations of Translation,"01-SEM
Regular",Hum 321A - Lecture Room,In Person,Tu 1:00PM - 3:45PM
15869,SPAN 471 - Practice in Translation I,"01-SEM
Regular",Hum 513 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
19707,SPAN 475T - Senior Seminar: Topics in Spanish Peninsular Literature,"01-SEM
Regular",Hum 321B - Lecture Room,In Person,TuTh 5:30PM - 6:45PM
19709,SPAN 500 - Research and Teaching Methods in Spanish,"01-SEM
Regular",Hum 513 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
19710,SPAN 575 - Graduate Seminar: Spanish Drama,"01-SEM
Regular",Hum 513 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
19711,SPAN 576T - Graduate Seminar: Hispanic Topics,"01-SEM
Regular",Hum 513 - Lecture Room,In Person,Th 7:00PM - 9:45PM
15962,SPAN 597 - Project,"01-IND
Regular",TBA,In Person,TBA
