Class ID,Class Name,Section,Room,Instruction Type,Time
17925,SPAN 101 - Fundamental Spanish-A,"51-DIS
Regular",Online,Fully Online,TBA
16565,SPAN 102 - Fundamental Spanish-B,"01-DIS
Regular",Hum 321B - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
16943,SPAN 102 - Fundamental Spanish-B,"50-DIS
Regular",Online,Fully Online,TBA
16322,SPAN 203 - Intermediate Spanish-A,"01-DIS
Regular",GH 336 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
17703,SPAN 204 - Intermediate Spanish-B,"50-DIS
Regular",Zoom,Fully Online,TuTh 10:00AM - 11:15AM
17562,SPAN 214 - Intermediate Composition,"01-DIS
Regular",Hum 321B - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
16082,SPAN 301 - Advanced Grammar and Composition,"01-DIS
Regular",GH 336 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
16469,SPAN 301 - Advanced Grammar and Composition,"50-DIS
Regular","Zoom
Online",Fully Online,"TuTh 1:00PM - 2:15PM
TBA"
16622,SPAN 307 - Spanish for Health and Human Services - B,"50-DIS
Regular",Zoom,Fully Online,Fr 10:00AM - 12:45PM
16862,SPAN 316 - Introduction to Spanish-American Civilization,"01-DIS
Regular",Hum 325 - Language Lab,In Person,TuTh 1:00PM - 2:15PM
16456,SPAN 316 - Introduction to Spanish-American Civilization,"50-DIS
Regular",Online,Fully Online,TBA
20289,SPAN 375 - Introduction to Literary Forms,"01-DIS
Regular",Hum 321A - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
16083,SPAN 400 - Advanced Writing in Cultural Studies,"01-DIS
Regular",Hum 321B - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
20287,SPAN 407 - Spanish Visual Representations of Cultural Transformations in the 20th Century,"01-SEM
Regular",Hum 321B - Lecture Room,In Person,Tu 7:00PM - 9:45PM
20285,SPAN 441 - Spanish-American Literature Since Modernismo,"01-DIS
Regular",Hum 321B - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
17318,SPAN 466 - Spanish Phonology and Dialectology,"01-DIS
Regular",Hum 321B - Lecture Room,In Person,We 4:00PM - 6:45PM
16349,SPAN 468 - Spanish/English Bilingualism and Language Contact,"01-DIS
Regular",Hum 321B - Lecture Room,In Person,Mo 4:00PM - 6:45PM
21044,SPAN 472 - Practice in Translation II,"01-SEM
Regular",GH 239 - Seminar,In Person,Tu 4:00PM - 6:45PM
20438,SPAN 571 - Graduate Seminar: Spanish Prose and Narrative Fiction,"01-SEM
Regular",Hum 516 - Lecture Room,In Person,Th 4:00PM - 6:45PM
17101,SPAN 597 - Project,"01-IND
Regular",TBA,In Person,TBA
