Class ID,Class Name,Section,Room,Instruction Type,Time
13608,SPED 322 - Introduction to Positive Behavior Support,"50-SEM
Regular",Online,Fully Online,TBA
13317,SPED 371 - Exceptional Individual,"50-LEC
Regular",Online,Fully Online,TBA
13298,SPED 371 - Exceptional Individual,"51-LEC
Regular",Online,Fully Online,TBA
13364,SPED 371 - Exceptional Individual,"52-LEC
Regular",Online,Fully Online,TBA
13334,SPED 371 - Exceptional Individual,"53-LEC
Regular",Online,Fully Online,TBA
13299,SPED 371 - Exceptional Individual,"54-LEC
Regular",Online,Fully Online,TBA
13411,SPED 371 - Exceptional Individual,"55-LEC
Regular",Online,Fully Online,TBA
13414,SPED 371 - Exceptional Individual,"56-LEC
Regular",Online,Fully Online,TBA
13596,SPED 371 - Exceptional Individual,"57-LEC
Regular",Online,Fully Online,TBA
13324,SPED 400 - Early Childhood Special Education,"50-DIS
Regular",Online,Fully Online,TBA
20634,SPED 401 - Introduction to Autism,"50-SEM
Regular",Online,Fully Online,TBA
20635,SPED 401 - Introduction to Autism,"51-SEM
Regular",Online,Fully Online,TBA
13579,SPED 420 - Collaboration and Consultation: Teaching Performance Assessment Seminar,"01-DIS
Regular","Zoom
Online",Fully Online,"We 4:00PM - 6:45PM
TBA"
13340,"SPED 425 - Exploring the Intersection of Culture, Language, Dis/ability, and the IEP","50-LEC
Regular",Online,Fully Online,TBA
20636,"SPED 425 - Exploring the Intersection of Culture, Language, Dis/ability, and the IEP","51-LEC
Regular",Online,Fully Online,TBA
13456,SPED 428 - Inclusive Education,"01-LEC
Regular","CP 125 - Lecture Room
Online",Mostly Online w/ In-Person Mtg,"Tu 7:00PM - 9:45PM
TBA"
13368,SPED 432 - SPED Curriculum and Instruction in the General Ed Classroom - Math and Science,"01-SEM
Regular",LH 320 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
13440,SPED 433 - Reading and Language Arts Instruction,"01-LEC
Regular","CP 125 - Lecture Room
Online",Mostly Online w/ In-Person Mtg,"Mo 4:00PM - 6:45PM
TBA"
13342,SPED 436 - Literacy for Early Childhood Special Education Specialists,"01-LEC
Regular",LH 315 - Lecture Room,In Person,Th 4:00PM - 6:45PM
20637,SPED 465 - Characteristics of Students with Mild to Extensive Support Needs,"01-LEC
Regular",Online,Fully Online,TBA
20638,SPED 465 - Characteristics of Students with Mild to Extensive Support Needs,"02-LEC
Regular",Online,Fully Online,TBA
13300,SPED 482A - Curriculum and Methods for Individuals with Mild to Moderate Support Needs,"01-LEC
Regular",Hum 426 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
13609,SPED 487 - Initial Student Teaching in General Education and Special Education Settings,"01-SUP
Regular",TBA,In Person,TBA
13415,SPED 489A - Directed Teaching in Special Education (A),"02-SUP
Regular",TBA,In Person,TBA
13498,SPED 489A - Directed Teaching in Special Education (A),"04-SUP
Regular",TBA,In Person,TBA
20250,SPED 490 - Field Studies: Special Education,"50-DIS
Regular",CP 125 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
13587,SPED 586 - Issues and Trends in Special Education,"50-SEM
Regular",Online,Fully Online,TBA
20640,SPED 595 - Culminating Seminar in Special Education,"50-SEM
Regular",Online,Fully Online,TBA
13305,SPED 597 - Project,"50-SUP
Regular",Online,Fully Online,TBA
13306,SPED 599 - Independent Graduate Research,"50-SUP
Regular",Online,Fully Online,TBA
